Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
46,,2019-01-23,33-112,NYK,,HOU,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
47,11,2019-01-25,33-114,NYK,@,BRK,L (-10),0,4:47,1,1,1.000,0,0,,1,2,.500,0,1,1,0,0,0,0,0,3,2.6,+3,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
48,12,2019-01-27,33-116,NYK,,MIA,L (-9),0,6:41,0,1,.000,0,1,.000,0,0,,0,2,2,2,0,0,1,0,0,0.3,+4,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
49,,2019-01-28,33-117,NYK,@,CHO,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
50,,2019-01-30,33-119,NYK,,DAL,L (-24),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
51,,2019-02-02,33-122,DAL,@,CLE,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
52,,2019-02-06,33-126,DAL,,CHO,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
53,13,2019-02-08,33-128,DAL,,MIL,L (-15),0,4:23,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,+1,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
54,14,2019-02-10,33-130,DAL,,POR,W (+1),0,8:58,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,2,0,-0.8,-2,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
55,15,2019-02-11,33-131,DAL,@,HOU,L (-16),0,5:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
56,16,2019-02-13,33-133,DAL,,MIA,L (-11),0,5:52,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,1,2,2.3,+2,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
57,17,2019-02-22,33-142,DAL,,DEN,L (-10),0,10:47,2,5,.400,1,2,.500,3,3,1.000,0,2,2,0,0,0,0,1,8,5.5,+13,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
58,18,2019-02-23,33-143,DAL,@,UTA,L (-16),0,16:02,1,4,.250,0,1,.000,0,0,,0,0,0,3,0,0,0,3,2,0.5,-6,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
59,,2019-02-25,33-145,DAL,@,LAC,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
60,,2019-02-27,33-147,DAL,,IND,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
61,19,2019-03-02,33-150,DAL,,MEM,L (-30),0,12:00,1,4,.250,0,2,.000,0,0,,0,1,1,0,0,1,0,0,2,0.6,-7,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
62,20,2019-03-04,33-152,DAL,@,BRK,L (-39),0,20:56,3,4,.750,1,2,.500,0,0,,0,1,1,1,1,0,0,1,7,7.0,-17,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
63,21,2019-03-06,33-154,DAL,@,WAS,L (-9),0,8:32,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,1,3,2.3,+5,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
64,22,2019-03-08,33-156,DAL,@,ORL,L (-5),0,23:05,1,6,.167,1,5,.200,0,0,,1,0,1,0,2,0,2,0,3,-0.1,-10,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
65,23,2019-03-10,33-158,DAL,,HOU,L (-1),0,2:11,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,0,1,3,1.9,-7,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
66,,2019-03-12,33-160,DAL,,SAS,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
67,24,2019-03-14,33-162,DAL,@,DEN,L (-1),0,1:44,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
68,,2019-03-16,33-164,DAL,,CLE,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
69,,2019-03-18,33-166,DAL,,NOP,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
70,25,2019-03-20,33-168,DAL,@,POR,L (-8),0,15:23,1,5,.200,0,1,.000,0,0,,0,2,2,2,2,0,0,0,2,2.9,+11,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
71,26,2019-03-21,33-169,DAL,@,SAC,L (-16),0,3:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,-1,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
72,27,2019-03-23,33-171,DAL,@,GSW,W (+35),0,4:41,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-1.1,-5,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
73,,2019-03-26,33-174,DAL,,SAC,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
74,28,2019-03-28,33-176,DAL,@,MIA,L (-6),0,6:54,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-3.1,-9,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
75,29,2019-03-31,33-179,DAL,@,OKC,W (+3),1,16:48,3,7,.429,2,5,.400,1,2,.500,0,1,1,0,1,0,0,0,9,6.2,0,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
76,30,2019-04-01,33-180,DAL,,PHI,W (+20),1,18:01,1,5,.200,0,2,.000,0,0,,0,4,4,1,0,0,1,3,2,-1.4,-4,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
77,31,2019-04-03,33-182,DAL,,MIN,L (-2),0,16:00,0,3,.000,0,3,.000,0,0,,0,3,3,1,0,0,1,0,0,-1.5,+11,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
78,32,2019-04-05,33-184,DAL,,MEM,L (-10),1,30:22,9,15,.600,3,6,.500,0,0,,2,2,4,7,3,0,1,2,21,22.2,+5,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
79,33,2019-04-07,33-186,DAL,@,MEM,W (+2),1,17:13,0,3,.000,0,1,.000,0,0,,0,2,2,1,1,0,0,2,0,-0.6,-6,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
80,,2019-04-09,33-188,DAL,,PHO,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
81,34,2019-04-10,33-189,DAL,@,SAS,L (-11),0,19:31,6,9,.667,2,4,.500,0,0,,0,3,3,2,1,0,1,1,14,12.0,-2,2019,leeco01,https://www.basketball-reference.com/players/l/leeco01/gamelog/2019
