Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
20,19,2000-12-08,34-098,MIA,,ATL,W (+4),1,26:39,2,7,.286,0,2,.000,0,0,,0,3,3,3,0,0,2,0,4,0.9,-18,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
21,20,2000-12-10,34-100,MIA,@,SAC,L (-4),1,36:16,8,19,.421,5,11,.455,4,6,.667,0,7,7,9,0,0,3,3,25,18.3,-5,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
22,21,2000-12-12,34-102,MIA,@,DEN,W (+11),1,31:34,4,11,.364,4,8,.500,1,2,.500,0,3,3,9,1,0,2,1,13,12.3,+10,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
23,22,2000-12-13,34-103,MIA,@,LAC,W (+6),1,44:19,5,15,.333,3,9,.333,8,11,.727,0,1,1,5,0,0,5,0,21,10.1,+15,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
24,23,2000-12-15,34-105,MIA,@,SEA,L (-18),1,25:18,3,11,.273,2,6,.333,0,0,,1,1,2,6,0,0,3,1,8,3.3,-18,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
25,24,2000-12-16,34-106,MIA,@,GSW,W (+8),1,37:35,3,14,.214,2,10,.200,4,4,1.000,0,4,4,9,3,0,3,3,12,9.7,+11,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
26,25,2000-12-19,34-109,MIA,,LAL,L (-2),1,34:29,3,16,.188,1,9,.111,2,4,.500,1,2,3,7,0,1,1,0,9,4.1,-3,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
27,26,2000-12-20,34-110,MIA,@,CHH,L (-9),1,28:52,2,11,.182,2,5,.400,1,3,.333,1,4,5,2,3,0,3,6,7,0.2,-7,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
28,27,2000-12-22,34-112,MIA,,CLE,W (+8),1,39:52,9,18,.500,6,10,.600,2,2,1.000,2,1,3,4,2,0,3,3,26,19.3,+8,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
29,28,2000-12-23,34-113,MIA,@,NJN,W (+6),1,41:01,5,14,.357,2,7,.286,3,4,.750,0,3,3,6,0,0,2,3,15,8.7,+10,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
30,29,2000-12-27,34-117,MIA,,IND,W (+12),1,33:18,3,13,.231,2,8,.250,0,0,,0,2,2,9,0,0,3,3,8,2.8,+13,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
31,30,2000-12-29,34-119,MIA,,WAS,W (+7),1,37:11,9,21,.429,2,7,.286,5,6,.833,0,3,3,4,1,0,1,4,25,15.6,+14,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
32,31,2000-12-30,34-120,MIA,@,DET,W (+8),1,40:53,7,18,.389,1,8,.125,4,7,.571,0,3,3,11,1,0,2,0,19,15.6,+6,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
33,32,2001-01-02,34-123,MIA,@,SAS,L (-8),1,37:37,7,20,.350,1,8,.125,0,0,,0,3,3,3,1,0,0,0,15,7.8,-4,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
34,33,2001-01-04,34-125,MIA,,NJN,W (+3),1,36:22,6,16,.375,4,8,.500,1,2,.500,0,3,3,8,0,0,0,2,17,13.5,+6,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
35,34,2001-01-06,34-127,MIA,,BOS,W (+26),1,29:05,9,14,.643,4,6,.667,2,3,.667,0,2,2,10,2,0,1,1,24,25.6,+31,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
36,35,2001-01-08,34-129,MIA,,GSW,W (+10),1,31:45,3,12,.250,1,7,.143,2,2,1.000,0,4,4,4,3,0,1,1,9,7.4,+3,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
37,36,2001-01-10,34-131,MIA,@,BOS,L (-12),1,30:48,4,14,.286,2,7,.286,1,1,1.000,0,2,2,2,0,0,0,1,11,4.4,-13,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
38,37,2001-01-13,34-134,MIA,@,IND,L (-16),1,38:01,7,17,.412,4,9,.444,2,2,1.000,0,3,3,6,1,0,2,3,20,13.8,-11,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
39,38,2001-01-14,34-135,MIA,,CHI,W (+9),1,35:09,2,6,.333,2,4,.500,0,0,,0,1,1,9,2,0,2,1,6,8.8,+9,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
40,39,2001-01-16,34-137,MIA,,DET,W (+8),1,20:02,3,7,.429,1,4,.250,2,4,.500,0,2,2,3,1,0,1,3,9,6.0,-8,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
41,40,2001-01-18,34-139,MIA,@,POR,L (-11),1,24:12,1,5,.200,0,2,.000,2,2,1.000,0,0,0,4,0,0,4,3,4,-1.5,-14,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
42,41,2001-01-19,34-140,MIA,@,VAN,W (+11),1,26:52,5,11,.455,3,6,.500,1,2,.500,0,2,2,3,0,0,4,3,14,5.4,-3,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
43,42,2001-01-21,34-142,MIA,@,LAL,W (+11),1,38:46,8,13,.615,5,8,.625,1,2,.500,1,1,2,8,1,0,3,3,22,19.1,+24,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
44,43,2001-01-24,34-145,MIA,,TOR,W (+20),1,32:04,5,15,.333,2,6,.333,3,4,.750,0,1,1,4,2,0,2,2,15,8.4,+12,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
45,44,2001-01-27,34-148,MIA,@,ORL,W (+22),1,29:45,3,10,.300,2,7,.286,3,3,1.000,3,3,6,6,1,0,2,4,11,9.8,+19,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
46,45,2001-01-30,34-151,MIA,@,HOU,W (+18),1,33:35,6,10,.600,3,6,.500,0,1,.000,0,1,1,11,0,0,2,4,15,14.4,+25,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
47,46,2001-02-01,34-153,MIA,@,DAL,L (-4),1,39:22,8,17,.471,5,7,.714,0,0,,2,2,4,6,2,0,2,3,21,17.3,+1,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
48,47,2001-02-02,34-154,MIA,@,ATL,W (+11),1,28:53,5,10,.500,4,6,.667,4,4,1.000,0,1,1,4,1,0,2,2,18,14.3,+7,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
49,48,2001-02-04,34-156,MIA,,NYK,L (-3),1,42:02,5,21,.238,4,14,.286,2,2,1.000,0,2,2,6,2,0,4,1,16,5.7,+1,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
50,49,2001-02-06,34-158,MIA,,IND,W (+13),1,34:39,4,8,.500,2,4,.500,3,4,.750,0,2,2,7,1,0,0,2,13,14.3,+18,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
51,50,2001-02-13,34-165,MIA,,LAC,W (+2),1,43:56,7,14,.500,4,9,.444,2,3,.667,0,2,2,7,2,0,3,1,20,16.7,+10,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
52,51,2001-02-15,34-167,MIA,@,TOR,W (+7),1,36:12,6,12,.500,4,7,.571,2,2,1.000,0,2,2,10,1,0,2,0,18,18.6,+2,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
53,52,2001-02-17,34-169,MIA,@,CHI,L (-7),1,40:09,6,21,.286,1,10,.100,1,1,1.000,1,1,2,8,2,0,4,5,14,4.3,+8,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
54,53,2001-02-20,34-172,MIA,@,NYK,L (-2),1,31:29,5,12,.417,2,8,.250,0,0,,0,4,4,8,0,0,3,2,12,8.6,-1,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
55,54,2001-02-21,34-173,MIA,,PHO,L (-15),1,21:50,1,5,.200,0,3,.000,1,1,1.000,0,1,1,4,1,0,2,2,3,1.2,-21,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
56,55,2001-02-24,34-176,MIA,,NJN,W (+5),1,37:51,1,13,.077,1,6,.167,1,2,.500,0,4,4,7,0,0,3,2,4,-2.8,+13,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
57,56,2001-02-27,34-179,MIA,,WAS,W (+8),1,39:32,9,17,.529,4,8,.500,0,0,,0,1,1,9,0,0,6,4,22,12.7,+4,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
58,57,2001-02-28,34-180,MIA,@,PHI,L (-10),1,36:19,8,17,.471,4,8,.500,0,0,,0,5,5,5,0,0,1,3,20,14.1,-14,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
59,58,2001-03-02,34-182,MIA,@,DET,W (+4),1,37:41,6,17,.353,1,10,.100,4,4,1.000,0,2,2,7,2,0,4,2,17,10.2,+5,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
60,59,2001-03-04,34-184,MIA,@,CLE,W (+12),1,34:31,7,12,.583,4,8,.500,0,0,,0,2,2,8,3,0,1,1,18,20.2,+15,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
61,60,2001-03-05,34-185,MIA,,DET,W (+3),1,35:10,6,15,.400,1,7,.143,3,4,.750,0,2,2,4,2,0,2,2,16,10.1,0,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
62,61,2001-03-07,34-187,MIA,,DAL,L (-7),1,32:48,1,9,.111,1,4,.250,2,2,1.000,1,2,3,8,1,0,2,3,5,3.8,-6,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
63,62,2001-03-09,34-189,MIA,,MIN,W (+7),1,37:14,4,15,.267,0,5,.000,6,6,1.000,1,2,3,6,2,0,4,2,14,7.8,+11,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
64,63,2001-03-11,34-191,MIA,@,NYK,L (-3),1,38:55,6,19,.316,3,10,.300,2,2,1.000,1,1,2,8,4,0,4,0,17,12.7,+3,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
65,64,2001-03-12,34-192,MIA,@,MIN,L (-17),1,19:52,1,8,.125,0,2,.000,0,0,,1,0,1,6,0,0,3,2,2,-2.1,-7,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
66,65,2001-03-14,34-194,MIA,,SAC,W (+10),1,28:41,7,16,.438,4,6,.667,2,2,1.000,0,5,5,5,2,0,0,3,20,17.4,+19,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
67,,2001-03-17,34-197,MIA,,VAN,W (+14),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
68,66,2001-03-21,34-201,MIA,,CHI,W (+28),1,24:27,5,11,.455,3,4,.750,0,0,,0,1,1,6,0,0,2,3,13,8.6,+26,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
69,67,2001-03-25,34-205,MIA,,SAS,W (+5),1,34:27,9,18,.500,5,8,.625,2,2,1.000,1,0,1,8,0,0,3,3,25,18.1,+12,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
70,68,2001-03-27,34-207,MIA,,TOR,L (-9),1,37:30,7,17,.412,3,6,.500,4,4,1.000,1,4,5,4,0,0,3,2,21,12.8,-16,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
71,69,2001-03-29,34-209,MIA,@,MIL,L (-8),1,41:49,10,24,.417,4,13,.308,1,2,.500,0,4,4,7,2,0,2,1,25,17.5,-2,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
72,70,2001-03-31,34-211,MIA,@,CHI,W (+7),1,36:34,10,20,.500,1,8,.125,0,0,,0,0,0,10,1,0,3,1,21,15.6,+11,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
73,71,2001-04-03,34-214,MIA,,BOS,L (-5),1,35:42,3,13,.231,2,6,.333,0,2,.000,0,3,3,4,1,0,3,0,8,1.0,-2,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
74,72,2001-04-04,34-215,MIA,@,WAS,W (+2),1,30:48,6,11,.545,3,6,.500,0,0,,0,1,1,9,2,0,2,2,15,15.5,+2,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
75,73,2001-04-06,34-217,MIA,,CHH,W (+5),1,36:40,0,7,.000,0,4,.000,0,0,,0,5,5,12,3,0,2,3,0,4.8,+9,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
76,74,2001-04-08,34-219,MIA,,NYK,W (+5),1,33:11,9,16,.563,3,6,.500,4,4,1.000,0,2,2,4,1,0,4,4,25,16.2,+12,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
77,75,2001-04-10,34-221,MIA,,PHI,W (+2),1,38:54,4,10,.400,1,5,.200,2,2,1.000,0,0,0,5,1,0,3,2,11,6.3,-6,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
78,76,2001-04-11,34-222,MIA,@,BOS,W (+5),1,31:25,5,14,.357,4,9,.444,0,0,,0,3,3,7,1,0,1,1,14,11.6,+11,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
79,77,2001-04-13,34-224,MIA,@,TOR,L (-12),1,18:24,3,6,.500,1,2,.500,0,0,,1,3,4,5,0,0,1,1,7,7.7,-10,2001,hardati01,https://www.basketball-reference.com/players/h/hardati01/gamelog/2001
