Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
16,13,2016-11-25,24-013,SAS,@,BOS,W (+6),0,23:08,6,8,.750,3,5,.600,0,0,,0,2,2,0,1,0,0,0,15,13.4,+8,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
17,14,2016-11-26,24-014,SAS,@,WAS,W (+12),0,11:26,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,1,0,0,0,0.3,+4,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
18,15,2016-11-29,24-017,SAS,,ORL,L (-12),0,6:02,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,1,0,-0.4,-2,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
19,16,2016-11-30,24-018,SAS,@,DAL,W (+7),0,15:20,2,2,1.000,1,1,1.000,2,2,1.000,0,0,0,0,0,0,0,1,7,6.0,+7,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
20,,2016-12-02,24-020,SAS,,WAS,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
21,17,2016-12-05,24-023,SAS,@,MIL,W (+1),0,8:03,0,3,.000,0,3,.000,1,2,.500,0,1,1,1,0,0,1,4,1,-3.1,-2,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
22,18,2016-12-06,24-024,SAS,@,MIN,W (+14),0,1:58,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-4,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
23,,2016-12-08,24-026,SAS,@,CHI,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
24,19,2016-12-10,24-028,SAS,,BRK,W (+29),0,21:22,1,4,.250,0,3,.000,3,3,1.000,0,6,6,0,2,2,0,2,5,7.0,+21,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
25,20,2016-12-14,24-032,SAS,,BOS,W (+7),0,14:42,1,3,.333,1,3,.333,0,0,,0,1,1,4,0,0,0,1,3,4.0,+4,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
26,21,2016-12-15,24-033,SAS,@,PHO,W (+15),0,2:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
27,22,2016-12-18,24-036,SAS,,NOP,W (+13),0,11:36,0,3,.000,0,2,.000,0,0,,2,1,3,1,0,0,1,0,0,-0.7,-4,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
28,23,2016-12-20,24-038,SAS,@,HOU,W (+2),0,2:29,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,0,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
29,,2016-12-22,24-040,SAS,@,LAC,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
30,24,2016-12-23,24-041,SAS,@,POR,W (+20),0,6:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
31,25,2016-12-25,24-043,SAS,,CHI,W (+19),0,2:23,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,0.3,+3,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
32,26,2016-12-28,24-046,SAS,,PHO,W (+21),0,3:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,3,0,-2.2,+5,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
33,27,2016-12-30,24-048,SAS,,POR,W (+16),0,2:55,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,0.3,-2,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
34,,2017-01-01,24-050,SAS,@,ATL,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
35,28,2017-01-03,24-052,SAS,,TOR,W (+28),0,8:03,2,3,.667,1,2,.500,0,0,,0,2,2,1,0,2,1,0,5,5.4,-4,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
36,29,2017-01-05,24-054,SAS,@,DEN,W (+28),0,4:34,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+6,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
37,30,2017-01-07,24-056,SAS,,CHO,W (+17),0,18:21,5,6,.833,4,5,.800,7,8,.875,0,1,1,2,1,0,0,2,21,20.3,+19,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
38,31,2017-01-10,24-059,SAS,,MIL,L (-2),0,18:54,4,7,.571,3,6,.500,0,0,,0,0,0,2,0,1,2,2,11,7.0,+8,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
39,32,2017-01-12,24-061,SAS,,LAL,W (+40),0,11:07,2,5,.400,1,4,.250,0,0,,0,3,3,2,0,0,0,3,5,3.4,+7,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
40,33,2017-01-14,24-063,SAS,@,PHO,L (-3),0,4:15,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,+3,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
41,34,2017-01-17,24-066,SAS,,MIN,W (+8),0,3:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
42,35,2017-01-19,24-068,SAS,,DEN,W (+14),0,15:13,1,2,.500,1,2,.500,1,2,.500,0,2,2,2,0,0,0,2,4,3.8,-6,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
43,,2017-01-21,24-070,SAS,@,CLE,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
44,36,2017-01-23,24-072,SAS,@,BRK,W (+26),0,12:16,3,5,.600,2,4,.500,3,3,1.000,0,2,2,2,0,0,0,5,11,8.7,+8,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
45,37,2017-01-24,24-073,SAS,@,TOR,W (+2),0,15:04,4,6,.667,2,4,.500,2,2,1.000,0,0,0,2,1,0,0,0,12,11.8,+2,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
46,38,2017-01-27,24-076,SAS,@,NOP,L (-16),0,19:44,6,9,.667,5,7,.714,0,0,,0,1,1,0,1,1,0,2,17,14.3,-14,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
47,39,2017-01-29,24-078,SAS,,DAL,L (-4),1,16:53,2,5,.400,1,3,.333,1,1,1.000,0,3,3,1,0,2,0,2,6,5.5,-3,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
48,40,2017-01-31,24-080,SAS,,OKC,W (+14),0,23:25,1,6,.167,0,4,.000,0,1,.000,2,3,5,1,1,1,1,0,2,1.5,+21,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
49,41,2017-02-02,24-082,SAS,,PHI,W (+16),1,30:02,5,14,.357,2,8,.250,0,0,,2,4,6,3,2,0,2,2,12,8.1,+19,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
50,42,2017-02-04,24-084,SAS,,DEN,W (+24),0,19:21,3,4,.750,1,1,1.000,0,0,,1,2,3,1,1,1,1,1,7,7.7,+8,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
51,43,2017-02-06,24-086,SAS,@,MEM,L (-15),0,15:10,0,5,.000,0,3,.000,0,0,,0,1,1,0,1,1,0,2,0,-2.3,0,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
52,44,2017-02-08,24-088,SAS,@,PHI,W (+8),0,14:50,3,5,.600,2,4,.500,1,2,.500,0,1,1,1,0,0,1,1,9,5.9,-5,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
53,45,2017-02-10,24-090,SAS,@,DET,W (+11),0,11:15,2,4,.500,1,2,.500,0,0,,0,1,1,0,0,0,2,2,5,0.5,-6,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
54,46,2017-02-12,24-092,SAS,@,NYK,L (-4),0,13:41,1,2,.500,1,1,1.000,0,0,,3,1,4,0,0,0,0,1,3,4.0,+8,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
55,47,2017-02-13,24-093,SAS,@,IND,W (+4),0,0:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
56,48,2017-02-15,24-095,SAS,@,ORL,W (+28),0,15:49,1,7,.143,1,6,.167,2,2,1.000,0,0,0,1,1,0,0,2,5,1.4,+15,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
57,,2017-02-24,24-104,SAS,@,LAC,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
58,49,2017-02-26,24-106,SAS,@,LAL,W (+21),0,8:05,1,1,1.000,1,1,1.000,0,0,,0,1,1,2,0,0,1,0,3,3.4,-3,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
59,50,2017-03-01,24-109,SAS,,IND,W (+1),0,6:52,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,1,0,2,1,3,1.6,+5,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
60,51,2017-03-03,24-111,SAS,@,NOP,W (+3),0,2:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
61,,2017-03-04,24-112,SAS,,MIN,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
62,,2017-03-06,24-114,SAS,,HOU,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
63,52,2017-03-08,24-116,SAS,,SAC,W (+10),0,19:23,3,7,.429,1,4,.250,1,1,1.000,1,3,4,1,1,1,0,2,8,7.5,+2,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
64,53,2017-03-09,24-117,SAS,@,OKC,L (-10),0,14:20,1,5,.200,1,3,.333,0,0,,0,4,4,0,0,1,0,0,3,1.8,+3,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
65,54,2017-03-11,24-119,SAS,,GSW,W (+22),0,21:00,4,7,.571,3,5,.600,2,2,1.000,1,2,3,2,0,1,1,3,13,10.9,-1,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
66,55,2017-03-13,24-121,SAS,,ATL,W (+8),0,14:25,3,6,.500,2,5,.400,0,0,,0,1,1,1,0,1,1,2,8,4.9,+1,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
67,,2017-03-15,24-123,SAS,,POR,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
68,56,2017-03-18,24-126,SAS,@,MEM,L (-8),0,7:51,1,2,.500,1,2,.500,0,0,,0,2,2,1,0,1,1,3,3,1.8,+4,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
69,57,2017-03-19,24-127,SAS,,SAC,W (+16),1,15:24,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,1,2,0.2,-17,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
70,58,2017-03-21,24-129,SAS,@,MIN,W (+7),0,6:13,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-1.0,-5,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
71,,2017-03-23,24-131,SAS,,MEM,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
72,59,2017-03-25,24-133,SAS,,NYK,W (+8),0,1:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
73,60,2017-03-27,24-135,SAS,,CLE,W (+29),0,10:54,1,3,.333,1,2,.500,0,0,,0,2,2,1,0,0,1,0,3,1.6,0,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
74,61,2017-03-29,24-137,SAS,,GSW,L (-12),0,0:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
75,,2017-03-31,24-139,SAS,@,OKC,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
76,62,2017-04-02,24-141,SAS,,UTA,W (+6),1,33:52,4,8,.500,3,6,.500,0,0,,0,4,4,1,1,0,0,2,11,9.1,+10,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
77,,2017-04-04,24-143,SAS,,MEM,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
78,63,2017-04-05,24-144,SAS,,LAL,L (-7),0,22:56,5,11,.455,4,10,.400,0,0,,0,1,1,1,0,1,2,2,14,7.2,-1,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
79,64,2017-04-07,24-146,SAS,@,DAL,W (+13),1,38:52,7,13,.538,5,9,.556,0,0,,3,1,4,1,2,0,1,0,19,16.8,+7,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
80,65,2017-04-08,24-147,SAS,,LAC,L (-11),0,2:13,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
81,66,2017-04-10,24-149,SAS,@,POR,L (-1),0,13:02,1,4,.250,0,3,.000,0,0,,1,1,2,1,0,2,0,3,2,1.5,-9,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
82,67,2017-04-12,24-151,SAS,@,UTA,L (-4),0,12:00,2,5,.400,2,5,.400,1,1,1.000,0,1,1,0,1,0,1,1,7,4.2,+6,2017,bertada01,https://www.basketball-reference.com/players/b/bertada01/gamelog/2017
