Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
17,17,1982-12-02,25-090,PHI,@,PHO,W (+8),0,8:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.1,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
18,18,1982-12-03,25-091,PHI,@,SDC,W (+17),0,11:00,1,4,.250,0,0,,2,2,1.000,,,3,0,,0,,1,4,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
19,19,1982-12-05,25-093,PHI,@,LAL,W (+10),0,9:00,2,3,.667,0,0,,0,1,.000,1,4,5,0,0,0,0,2,4,3.4,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
20,20,1982-12-08,25-096,PHI,,ATL,W (+47),0,17:00,7,10,.700,0,0,,1,3,.333,2,1,3,2,2,0,1,2,15,13.3,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
21,21,1982-12-10,25-098,PHI,@,BOS,L (-26),0,11:00,1,4,.250,0,0,,0,0,,0,0,0,0,,0,,1,2,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
22,22,1982-12-11,25-099,PHI,,DET,W (+17),0,11:00,2,4,.500,0,0,,1,2,.500,,,4,0,,0,,5,5,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
23,23,1982-12-15,25-103,PHI,,CLE,W (+6),0,8:00,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,1,1,2,0.6,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
24,24,1982-12-17,25-105,PHI,,NYK,W (+14),0,12:00,1,2,.500,0,0,,0,0,,,,3,0,,0,,2,2,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
25,25,1982-12-18,25-106,PHI,@,WSB,L (-3),0,5:00,0,0,,0,0,,0,0,,,,4,0,0,0,,1,0,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
26,26,1982-12-21,25-109,PHI,,BOS,W (+17),0,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
27,27,1982-12-26,25-114,PHI,@,SAS,W (+2),0,5:00,0,0,,0,0,,2,2,1.000,0,2,2,0,1,0,0,2,2,2.8,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
28,28,1982-12-28,25-116,PHI,@,HOU,W (+11),0,13:00,1,3,.333,0,0,,0,2,.000,0,5,5,2,0,0,1,3,2,0.2,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
29,29,1982-12-29,25-117,PHI,@,DAL,W (+10),0,10:00,0,3,.000,0,0,,1,2,.500,1,1,2,0,0,0,1,1,1,-1.9,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
30,30,1983-01-05,25-124,PHI,,LAL,W (+2),0,20:00,2,3,.667,0,0,,0,0,,2,6,8,0,4,0,2,2,4,7.1,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
31,31,1983-01-07,25-126,PHI,@,WSB,W (+17),0,18:00,1,3,.333,0,0,,0,0,,,,4,0,1,1,,3,2,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
32,32,1983-01-08,25-127,PHI,,KCK,W (+12),0,18:00,1,5,.200,0,0,,0,0,,,,5,3,1,0,,4,2,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
33,33,1983-01-14,25-133,PHI,@,DET,W (+10),0,19:00,3,3,1.000,0,0,,0,0,,,,5,2,,1,,2,6,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
34,34,1983-01-15,25-134,PHI,,IND,W (+9),0,8:00,2,4,.500,0,0,,0,0,,,,1,0,0,1,,0,4,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
35,35,1983-01-18,25-137,PHI,@,CLE,W (+8),0,17:00,2,5,.400,0,0,,0,0,,3,5,8,0,0,0,0,1,4,4.5,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
36,36,1983-01-19,25-138,PHI,,CHI,W (+20),0,19:00,1,2,.500,0,0,,0,0,,0,4,4,1,2,3,3,2,2,3.2,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
37,37,1983-01-21,25-140,PHI,,SEA,W (+13),0,16:00,2,3,.667,0,0,,1,2,.500,1,3,4,0,0,0,1,2,5,3.1,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
38,38,1983-01-23,25-142,PHI,@,MIL,L (-11),0,18:00,0,1,.000,0,0,,0,0,,0,3,3,0,1,0,1,3,0,-1.0,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
39,39,1983-01-25,25-144,PHI,@,CHI,W (+17),0,26:00,4,8,.500,0,0,,0,0,,4,6,10,1,3,1,3,3,8,8.8,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
40,40,1983-01-26,25-145,PHI,,PHO,W (+11),0,26:00,0,2,.000,0,0,,0,2,.000,2,5,7,1,2,2,1,4,0,2.2,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
41,41,1983-01-28,25-147,PHI,@,KCK,W (+15),0,22:00,2,6,.333,0,0,,2,6,.333,,,9,0,3,0,,3,6,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
42,42,1983-01-29,25-148,PHI,@,UTA,W (+17),0,23:00,1,6,.167,0,0,,2,2,1.000,,,4,0,,0,,1,4,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
43,43,1983-02-01,25-151,PHI,@,DEN,W (+9),0,30:00,2,7,.286,0,0,,0,2,.000,4,5,9,1,2,1,2,5,4,2.8,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
44,44,1983-02-03,25-153,PHI,@,GSW,W (+6),0,15:00,2,2,1.000,0,0,,0,0,,1,4,5,1,1,0,0,5,4,5.0,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
45,45,1983-02-04,25-154,PHI,@,POR,L (-6),0,21:00,2,6,.333,0,0,,0,0,,4,2,6,0,1,0,1,5,4,2.0,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
46,46,1983-02-06,25-156,PHI,@,SEA,W (+1),0,20:00,4,4,1.000,0,0,,0,0,,1,4,5,0,0,0,0,2,8,7.9,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
47,47,1983-02-09,25-159,PHI,,ATL,W (+13),0,18:00,0,2,.000,0,0,,0,0,,0,3,3,0,0,0,1,3,0,-2.7,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
48,48,1983-02-10,25-160,PHI,@,CHI,W (+6),0,14:00,1,4,.250,0,0,,0,0,,0,0,0,1,0,0,1,2,2,-1.5,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
49,49,1983-02-16,25-166,PHI,,DEN,W (+21),0,26:00,1,3,.333,0,0,,0,0,,0,7,7,3,1,1,5,3,2,0.0,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
50,50,1983-02-18,25-168,PHI,,HOU,W (+29),0,15:00,5,7,.714,0,0,,0,0,,,,4,2,1,0,1,3,10,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
51,51,1983-02-20,25-170,PHI,,NYK,W (+15),0,15:00,0,6,.000,0,0,,1,2,.500,,,3,2,,0,,3,1,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
52,52,1983-02-23,25-173,PHI,,DAL,W (+32),0,15:00,1,4,.250,0,0,,0,2,.000,1,0,1,0,3,1,1,0,2,2.2,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
53,53,1983-02-25,25-175,PHI,,CHI,W (+5),0,4:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.1,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
54,54,1983-02-27,25-177,PHI,,GSW,W (+11),0,8:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-0.2,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
55,55,1983-03-01,25-179,PHI,@,NYK,W (+12),0,1:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
56,56,1983-03-04,25-182,PHI,@,BOS,L (-5),0,4:00,0,0,,0,0,,0,0,,,,2,0,,0,,1,0,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
57,57,1983-03-06,25-184,PHI,@,NJN,L (-6),0,9:00,1,3,.333,0,0,,0,0,,1,3,4,0,0,0,1,0,2,0.9,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
58,58,1983-03-12,25-190,PHI,@,WSB,W (+9),0,5:00,0,1,.000,0,0,,0,0,,,,1,0,0,0,,0,0,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
59,59,1983-03-13,25-191,PHI,,WSB,W (+4),0,10:00,2,5,.400,0,0,,1,2,.500,4,3,7,1,0,0,0,3,5,5.1,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
60,60,1983-03-19,25-197,PHI,@,MIL,W (+8),0,8:00,1,2,.500,0,0,,1,2,.500,,,2,0,0,0,0,1,3,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
61,61,1983-03-22,25-200,PHI,@,NYK,L (-13),0,18:00,2,4,.500,0,0,,4,5,.800,2,6,8,0,0,0,2,3,8,5.6,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
62,62,1983-03-23,25-201,PHI,,MIL,W (+3),0,33:00,3,5,.600,0,0,,2,4,.500,0,5,5,0,0,3,5,3,8,2.3,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
63,63,1983-03-25,25-203,PHI,,NJN,L (-9),0,17:00,1,3,.333,0,0,,0,0,,,,4,2,,1,,5,2,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
64,64,1983-03-27,25-205,PHI,,CLE,W (+14),1,25:00,3,6,.500,0,0,,0,0,,2,3,5,0,0,2,0,3,6,5.5,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
65,65,1983-03-29,25-207,PHI,@,CHI,L (-2),1,17:00,0,1,.000,0,0,,1,2,.500,1,2,3,2,0,0,2,3,1,-0.6,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
66,66,1983-03-30,25-208,PHI,,ATL,W (+7),1,5:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
67,67,1983-04-01,25-210,PHI,,NJN,L (-7),0,2:00,0,0,,0,0,,0,0,,,,1,0,0,0,,0,0,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
68,68,1983-04-03,25-212,PHI,@,CLE,W (+12),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
69,69,1983-04-10,25-219,PHI,,NYK,W (+16),0,1:00,0,3,.000,0,0,,0,0,,2,0,2,0,0,0,1,0,0,-1.7,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
70,70,1983-04-12,25-221,PHI,@,ATL,L (-5),0,13:00,1,5,.200,0,0,,0,0,,1,1,2,1,0,0,0,2,2,-0.2,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
71,71,1983-04-13,25-222,PHI,,WSB,L (-19),0,20:00,1,5,.200,0,0,,1,2,.500,0,4,4,1,1,1,1,1,3,1.7,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
72,72,1983-04-15,25-224,PHI,@,NJN,W (+2),0,30:00,4,9,.444,0,0,,1,1,1.000,,,5,2,,1,,3,9,,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
73,73,1983-04-17,25-226,PHI,@,BOS,L (-13),0,25:00,2,10,.200,0,0,,0,0,,1,3,4,1,0,0,1,2,4,-1.7,1983,curetea01,https://www.basketball-reference.com/players/c/curetea01/gamelog/1983
