Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
13,,2021-11-11,35-189,TOR,@,PHI,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
14,5,2021-11-13,35-191,TOR,,DET,L (-6),1,28:10,6,12,.500,2,5,.400,2,2,1.000,2,3,5,3,2,0,0,2,16,15.6,+6,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
15,,2021-11-15,35-193,TOR,@,POR,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
16,,2021-11-18,35-196,TOR,@,UTA,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
17,,2021-11-19,35-197,TOR,@,SAC,W (+19),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
18,,2021-11-21,35-199,TOR,@,GSW,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
19,,2021-11-24,35-202,TOR,@,MEM,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
20,,2021-11-26,35-204,TOR,@,IND,L (-17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
21,,2021-11-28,35-206,TOR,,BOS,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
22,,2021-11-30,35-208,TOR,,MEM,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
23,,2021-12-02,35-210,TOR,,MIL,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
24,,2021-12-05,35-213,TOR,,WAS,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
25,,2021-12-08,35-216,TOR,,OKC,L (-1),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
26,,2021-12-10,35-218,TOR,,NYK,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
27,,2021-12-13,35-221,TOR,,SAC,W (+23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
28,,2021-12-14,35-222,TOR,@,BRK,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
29,,2021-12-18,35-226,TOR,,GSW,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
30,,2021-12-26,35-234,TOR,@,CLE,L (-45),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
31,,2021-12-28,35-236,TOR,,PHI,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
32,,2021-12-31,35-239,TOR,,LAC,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
33,,2022-01-02,35-241,TOR,,NYK,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
34,,2022-01-04,35-243,TOR,,SAS,W (+25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
35,,2022-01-05,35-244,TOR,@,MIL,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
36,,2022-01-07,35-246,TOR,,UTA,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
37,,2022-01-09,35-248,TOR,,NOP,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
38,,2022-01-11,35-250,TOR,,PHO,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
39,,2022-01-14,35-253,TOR,@,DET,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
40,,2022-01-15,35-254,TOR,@,MIL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
41,,2022-01-17,35-256,TOR,@,MIA,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
42,,2022-01-19,35-258,TOR,@,DAL,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
43,,2022-01-21,35-260,TOR,@,WAS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
44,,2022-01-23,35-262,TOR,,POR,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
45,,2022-01-25,35-264,TOR,,CHO,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
46,,2022-01-26,35-265,TOR,@,CHI,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
47,,2022-01-29,35-268,TOR,@,MIA,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
48,,2022-01-31,35-270,TOR,@,ATL,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
49,,2022-02-01,35-271,TOR,,MIA,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
50,,2022-02-03,35-273,TOR,,CHI,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
51,,2022-02-04,35-274,TOR,,ATL,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
52,,2022-02-07,35-277,TOR,@,CHO,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
53,,2022-02-09,35-279,TOR,@,OKC,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
54,,2022-02-11,35-281,SAS,@,ATL,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
55,,2022-02-12,35-282,SAS,@,NOP,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
56,,2022-02-14,35-284,SAS,@,CHI,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
57,,2022-02-24,35-294,BRK,,BOS,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
58,6,2022-02-26,35-296,BRK,@,MIL,W (+3),0,14:19,2,5,.400,1,2,.500,1,2,.500,2,1,3,2,0,0,0,1,6,5.6,-14,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
59,7,2022-02-28,35-298,BRK,,TOR,L (-36),0,16:39,1,5,.200,1,3,.333,3,4,.750,0,1,1,5,0,0,2,3,6,3.1,-24,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
60,8,2022-03-01,35-299,BRK,@,TOR,L (-1),0,15:05,4,8,.500,0,1,.000,2,5,.400,0,2,2,2,0,0,1,2,10,5.0,+15,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
61,9,2022-03-03,35-301,BRK,,MIA,L (-6),1,27:46,4,10,.400,1,3,.333,0,0,,0,3,3,7,1,0,2,2,9,7.6,-1,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
62,10,2022-03-06,35-304,BRK,@,BOS,L (-6),0,22:23,2,7,.286,1,2,.500,2,2,1.000,3,3,6,1,0,0,1,5,7,3.6,-7,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
63,11,2022-03-08,35-306,BRK,@,CHO,W (+11),0,27:42,2,6,.333,1,4,.250,0,0,,0,2,2,7,2,0,2,1,5,6.7,+12,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
64,12,2022-03-10,35-308,BRK,@,PHI,W (+29),0,22:00,1,6,.167,1,4,.250,0,0,,0,2,2,7,1,0,1,0,3,4.7,+14,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
65,13,2022-03-13,35-311,BRK,,NYK,W (+3),1,38:20,3,8,.375,1,4,.250,0,0,,1,2,3,6,2,1,3,3,7,6.6,+3,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
66,14,2022-03-15,35-313,BRK,@,ORL,W (+42),1,19:53,0,2,.000,0,1,.000,0,0,,0,3,3,4,0,0,2,3,0,-0.9,+3,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
67,15,2022-03-16,35-314,BRK,,DAL,L (-2),1,35:52,9,16,.563,1,4,.250,2,2,1.000,0,3,3,4,0,0,2,3,21,13.9,+3,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
68,16,2022-03-18,35-316,BRK,,POR,W (+5),1,36:27,3,7,.429,1,3,.333,2,2,1.000,1,1,2,10,3,0,5,4,9,9.7,+2,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
69,17,2022-03-21,35-319,BRK,,UTA,W (+8),1,32:04,3,11,.273,1,5,.200,0,0,,1,2,3,7,0,0,3,2,7,2.9,+4,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
70,,2022-03-23,35-321,BRK,@,MEM,L (-12),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
71,18,2022-03-26,35-324,BRK,@,MIA,W (+15),0,21:12,1,4,.250,0,2,.000,4,4,1.000,0,4,4,4,0,1,3,3,6,4.1,+14,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
72,19,2022-03-27,35-325,BRK,,CHO,L (-9),0,29:55,3,9,.333,0,4,.000,1,2,.500,1,5,6,6,2,1,0,2,7,9.8,+4,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
73,20,2022-03-29,35-327,BRK,,DET,W (+7),0,26:48,4,7,.571,1,3,.333,0,0,,2,4,6,3,1,0,4,2,9,6.6,-7,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
74,21,2022-03-31,35-329,BRK,,MIL,L (-1),0,21:17,2,6,.333,1,4,.250,0,0,,0,2,2,2,2,0,2,1,5,3.2,+7,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
75,,2022-04-02,35-331,BRK,@,ATL,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
76,,2022-04-05,35-334,BRK,,HOU,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
77,,2022-04-06,35-335,BRK,@,NYK,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
78,,2022-04-08,35-337,BRK,,CLE,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
79,,2022-04-10,35-339,BRK,,IND,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,dragigo01,https://www.basketball-reference.com/players/d/dragigo01/gamelog/2022
