Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
31,,2015-12-23,25-245,ATL,,DET,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
32,11,2015-12-26,25-248,ATL,,NYK,W (+19),0,2:24,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-1,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
33,,2015-12-28,25-250,ATL,@,IND,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
34,12,2015-12-29,25-251,ATL,@,HOU,W (+6),0,14:26,2,9,.222,0,5,.000,1,1,1.000,0,0,0,3,0,0,1,1,5,0.2,-17,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
35,13,2016-01-03,25-256,ATL,@,NYK,L (-14),0,18:26,5,10,.500,0,1,.000,0,0,,1,0,1,5,1,0,3,1,10,6.8,-4,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
36,,2016-01-05,25-258,ATL,,NYK,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
37,14,2016-01-07,25-260,ATL,@,PHI,W (+28),0,7:21,3,5,.600,2,3,.667,0,0,,0,1,1,2,0,0,0,1,8,7.0,-2,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
38,15,2016-01-09,25-262,ATL,,CHI,W (+15),0,2:38,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-2.4,-2,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
39,16,2016-01-13,25-266,ATL,@,CHO,L (-23),0,9:18,3,6,.500,0,1,.000,2,3,.667,0,3,3,3,0,0,1,0,8,6.6,+2,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
40,,2016-01-15,25-268,ATL,@,MIL,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
41,17,2016-01-16,25-269,ATL,,BRK,W (+28),0,5:46,2,3,.667,0,0,,2,4,.500,0,0,0,1,0,0,0,0,6,4.6,+2,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
42,18,2016-01-18,25-271,ATL,,ORL,W (+17),0,6:21,0,2,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0,-0.1,-5,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
43,,2016-01-20,25-273,ATL,@,POR,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
44,,2016-01-21,25-274,ATL,@,SAC,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
45,,2016-01-23,25-276,ATL,@,PHO,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
46,19,2016-01-25,25-278,ATL,@,DEN,W (+14),0,3:32,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-0.7,-8,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
47,,2016-01-27,25-280,ATL,,LAC,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
48,20,2016-01-28,25-281,ATL,@,IND,L (-19),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
49,21,2016-01-31,25-284,ATL,@,MIA,L (-18),0,2:17,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-3,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
50,22,2016-02-01,25-285,ATL,,DAL,W (+15),0,4:10,2,4,.500,0,1,.000,0,0,,0,2,2,0,0,0,1,0,4,1.6,-2,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
51,23,2016-02-03,25-287,ATL,@,PHI,W (+38),0,8:45,4,8,.500,0,1,.000,1,1,1.000,0,2,2,2,0,0,0,1,9,6.6,+9,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
52,,2016-02-05,25-289,ATL,,IND,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
53,,2016-02-07,25-291,ATL,@,ORL,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
54,,2016-02-08,25-292,ATL,,ORL,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
55,24,2016-02-10,25-294,ATL,@,CHI,W (+23),0,2:22,0,1,.000,0,1,.000,0,0,,0,0,0,1,1,0,0,0,0,1.0,+2,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
56,,2016-02-19,25-303,UTA,,BOS,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
57,25,2016-02-21,25-305,UTA,@,POR,L (-4),0,24:29,7,11,.636,1,3,.333,1,2,.500,0,3,3,6,0,1,1,5,16,13.5,+14,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
58,26,2016-02-23,25-307,UTA,,HOU,W (+3),1,31:47,5,11,.455,1,4,.250,6,8,.750,0,1,1,2,1,0,6,4,17,5.6,+7,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
59,27,2016-02-25,25-309,UTA,,SAS,L (-18),1,27:54,4,12,.333,0,2,.000,0,0,,0,3,3,3,2,0,2,0,8,4.2,-7,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
60,28,2016-02-27,25-311,UTA,,BRK,L (-2),1,25:25,3,7,.429,0,1,.000,0,0,,0,2,2,2,0,0,4,2,6,-0.5,+3,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
61,29,2016-02-29,25-313,UTA,@,BOS,L (-5),1,30:06,8,13,.615,2,3,.667,0,1,.000,0,2,2,1,2,0,2,5,18,11.0,-6,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
62,30,2016-03-02,25-315,UTA,@,TOR,L (-10),1,23:51,0,6,.000,0,3,.000,2,2,1.000,0,2,2,4,0,0,3,2,2,-2.6,-13,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
63,31,2016-03-04,25-317,UTA,@,MEM,L (-6),1,29:02,4,9,.444,1,2,.500,3,6,.500,1,4,5,8,2,0,2,4,12,12.0,+12,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
64,32,2016-03-05,25-318,UTA,@,NOP,W (+12),1,31:37,4,10,.400,1,2,.500,2,2,1.000,0,3,3,4,1,0,1,2,11,8.5,+2,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
65,33,2016-03-08,25-321,UTA,,ATL,L (-7),1,26:42,2,13,.154,1,3,.333,0,0,,1,6,7,4,0,0,3,3,5,-2.2,-3,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
66,34,2016-03-09,25-322,UTA,@,GSW,L (-21),1,27:49,3,9,.333,1,1,1.000,0,0,,0,4,4,8,2,0,4,1,7,6.3,-11,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
67,35,2016-03-11,25-324,UTA,,WAS,W (+21),1,34:01,11,17,.647,3,5,.600,2,3,.667,0,3,3,4,0,0,3,1,27,19.4,+12,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
68,36,2016-03-13,25-326,UTA,@,SAC,W (+9),1,30:19,5,11,.455,4,6,.667,0,0,,1,4,5,8,2,0,5,3,14,11.6,+11,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
69,37,2016-03-14,25-327,UTA,,CLE,W (+9),1,37:11,7,14,.500,3,5,.600,0,0,,0,7,7,10,1,0,3,2,17,16.3,+18,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
70,38,2016-03-17,25-330,UTA,,PHO,W (+34),1,29:00,7,13,.538,1,2,.500,0,0,,1,7,8,10,0,0,2,2,15,15.7,+33,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
71,39,2016-03-19,25-332,UTA,@,CHI,L (-7),1,33:37,5,11,.455,2,3,.667,3,4,.750,2,3,5,8,1,0,2,0,15,15.8,-5,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
72,40,2016-03-20,25-333,UTA,@,MIL,W (+9),1,37:53,5,11,.455,1,3,.333,2,3,.667,0,4,4,12,1,0,6,2,13,10.7,+7,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
73,41,2016-03-23,25-336,UTA,@,HOU,W (+2),1,32:38,6,12,.500,3,7,.429,1,2,.500,0,2,2,3,2,0,6,1,16,7.9,-2,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
74,42,2016-03-24,25-337,UTA,@,OKC,L (-22),1,24:25,3,9,.333,0,3,.000,0,0,,0,2,2,4,3,0,5,3,6,1.1,-12,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
75,43,2016-03-26,25-339,UTA,@,MIN,W (+9),1,34:27,3,14,.214,0,4,.000,0,0,,0,2,2,6,2,0,2,1,6,1.8,+1,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
76,44,2016-03-28,25-341,UTA,,LAL,W (+48),1,29:12,8,11,.727,1,3,.333,0,0,,0,3,3,5,0,0,2,0,17,14.9,+48,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
77,45,2016-03-30,25-343,UTA,,GSW,L (-7),1,40:46,5,17,.294,1,5,.200,1,2,.500,2,4,6,9,2,0,3,5,12,7.6,-8,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
78,46,2016-04-01,25-345,UTA,,MIN,W (+13),1,33:12,6,12,.500,2,4,.500,2,2,1.000,0,4,4,5,1,0,3,1,16,12.3,+15,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
79,47,2016-04-03,25-347,UTA,@,PHO,W (+15),1,35:14,3,9,.333,0,2,.000,3,4,.750,1,6,7,5,0,2,1,1,9,9.5,+10,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
80,48,2016-04-05,25-349,UTA,,SAS,L (-2),1,30:17,6,10,.600,1,1,1.000,0,0,,0,4,4,2,1,0,2,2,13,9.2,+6,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
81,49,2016-04-08,25-352,UTA,,LAC,L (-3),1,32:43,3,9,.333,1,6,.167,6,6,1.000,1,1,2,2,0,0,2,5,13,6.3,-20,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
82,50,2016-04-10,25-354,UTA,@,DEN,W (+16),1,35:10,6,13,.462,2,4,.500,0,0,,0,3,3,6,0,0,1,2,14,10.6,+22,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
83,51,2016-04-11,25-355,UTA,,DAL,L (-9),1,35:14,8,14,.571,2,7,.286,0,0,,0,2,2,2,0,0,2,4,18,9.8,-8,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
84,52,2016-04-13,25-357,UTA,@,LAL,L (-5),1,34:33,5,12,.417,0,4,.000,2,2,1.000,1,4,5,6,0,0,3,2,12,7.9,-1,2016,macksh01,https://www.basketball-reference.com/players/m/macksh01/gamelog/2016
