Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
18,18,2015-12-07,26-084,CHI,,PHO,L (-2),1,35:45,6,12,.500,2,3,.667,5,6,.833,0,4,4,3,1,1,3,4,19,13.0,+6,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
19,19,2015-12-09,26-086,CHI,@,BOS,L (-5),1,38:48,12,24,.500,0,5,.000,12,14,.857,0,7,7,0,1,0,1,3,36,24.1,+3,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
20,20,2015-12-10,26-087,CHI,,LAC,W (+3),1,37:27,4,14,.286,0,2,.000,6,8,.750,1,4,5,8,2,2,0,0,14,15.9,-5,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
21,21,2015-12-12,26-089,CHI,,NOP,W (+4),1,38:21,4,16,.250,0,1,.000,7,9,.778,0,3,3,0,2,1,1,1,15,6.8,+3,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
22,22,2015-12-14,26-091,CHI,,PHI,W (+19),1,28:30,8,14,.571,0,1,.000,7,7,1.000,0,3,3,3,2,1,0,0,23,22.1,+18,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
23,23,2015-12-16,26-093,CHI,,MEM,W (+13),1,38:09,10,22,.455,1,4,.250,3,3,1.000,1,3,4,4,1,1,1,1,24,17.3,+10,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
24,24,2015-12-18,26-095,CHI,,DET,L (-3),1,55:33,14,29,.483,1,4,.250,14,16,.875,1,7,8,2,2,2,3,5,43,30.1,-5,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
25,25,2015-12-19,26-096,CHI,@,NYK,L (-16),1,33:12,4,11,.364,1,2,.500,3,4,.750,1,1,2,5,1,0,1,3,12,8.8,-13,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
26,26,2015-12-21,26-098,CHI,,BRK,L (-3),1,38:29,11,20,.550,1,6,.167,1,3,.333,1,2,3,4,1,1,2,1,24,17.0,-6,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
27,27,2015-12-25,26-102,CHI,@,OKC,W (+9),1,42:58,9,20,.450,1,3,.333,4,4,1.000,3,3,6,4,4,0,3,2,23,18.6,+4,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
28,28,2015-12-26,26-103,CHI,@,DAL,L (-7),1,37:05,4,11,.364,2,5,.400,7,8,.875,0,4,4,8,3,0,5,2,17,14.5,-14,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
29,29,2015-12-28,26-105,CHI,,TOR,W (+7),1,35:46,2,7,.286,0,3,.000,1,2,.500,1,3,4,5,2,2,2,2,5,6.2,-8,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
30,30,2015-12-30,26-107,CHI,,IND,W (+2),1,43:44,8,16,.500,1,3,.333,11,13,.846,0,4,4,4,2,1,2,3,28,22.7,-2,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
31,31,2016-01-01,26-109,CHI,,NYK,W (+27),1,34:13,8,18,.444,0,1,.000,7,10,.700,2,2,4,6,1,1,0,1,23,19.9,+16,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
32,32,2016-01-03,26-111,CHI,@,TOR,W (+2),1,38:42,15,23,.652,2,3,.667,10,11,.909,1,3,4,5,1,1,3,3,42,34.1,+11,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
33,33,2016-01-05,26-113,CHI,,MIL,W (+11),1,39:23,11,21,.524,2,5,.400,8,8,1.000,0,2,2,10,1,0,2,1,32,27.9,+13,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
34,34,2016-01-07,26-115,CHI,,BOS,W (+9),1,38:39,5,14,.357,1,3,.333,8,9,.889,0,5,5,10,1,1,3,1,19,17.6,+12,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
35,35,2016-01-09,26-117,CHI,@,ATL,L (-15),1,39:26,8,17,.471,1,3,.333,10,12,.833,4,4,8,2,1,1,3,4,27,20.0,-9,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
36,36,2016-01-11,26-119,CHI,,WAS,L (-14),1,38:07,6,15,.400,1,3,.333,6,7,.857,2,2,4,7,3,0,2,2,19,17.6,-8,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
37,37,2016-01-12,26-120,CHI,@,MIL,L (-5),1,40:31,9,21,.429,2,5,.400,10,12,.833,2,6,8,6,0,1,4,0,30,22.2,-2,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
38,38,2016-01-14,26-122,CHI,@,PHI,W (+4),1,49:03,15,30,.500,2,4,.500,21,25,.840,4,6,10,6,3,0,4,4,53,42.6,+11,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
39,39,2016-01-15,26-123,CHI,,DAL,L (-6),1,36:16,2,11,.182,0,4,.000,0,0,,0,5,5,6,2,0,0,1,4,4.4,-7,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
40,40,2016-01-18,26-126,CHI,@,DET,W (+10),1,37:28,5,13,.385,0,3,.000,6,8,.750,0,3,3,9,2,0,5,2,16,11.5,+1,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
41,41,2016-01-20,26-128,CHI,,GSW,L (-31),1,35:27,7,16,.438,0,2,.000,9,12,.750,2,3,5,2,0,0,2,0,23,15.1,-28,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
42,42,2016-01-22,26-130,CHI,@,BOS,L (-9),1,38:29,10,20,.500,0,3,.000,8,8,1.000,4,10,14,3,2,0,4,0,28,23.9,-15,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
43,43,2016-01-23,26-131,CHI,@,CLE,W (+13),1,42:28,8,16,.500,2,3,.667,2,2,1.000,2,7,9,1,0,0,0,2,20,15.4,+2,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
44,44,2016-01-25,26-133,CHI,,MIA,L (-5),1,40:05,5,15,.333,1,1,1.000,2,2,1.000,1,5,6,4,0,0,2,1,13,7.1,-1,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
45,45,2016-01-28,26-136,CHI,@,LAL,W (+23),1,31:14,11,17,.647,1,2,.500,3,3,1.000,1,4,5,10,4,0,0,1,26,31.0,+31,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
46,46,2016-01-31,26-139,CHI,@,LAC,L (-27),1,36:47,8,22,.364,2,4,.500,5,7,.714,1,0,1,0,1,0,0,0,23,11.7,-9,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
47,47,2016-02-01,26-140,CHI,@,UTA,L (-9),1,46:49,10,17,.588,2,5,.400,4,7,.571,0,7,7,6,0,0,3,3,26,19.0,-4,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
48,,2016-02-03,26-142,CHI,@,SAC,W (+5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
49,48,2016-02-05,26-144,CHI,@,DEN,L (-5),1,18:29,6,9,.667,0,0,,7,9,.778,0,2,2,5,2,0,1,0,19,19.4,-1,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
50,,2016-02-06,26-145,CHI,@,MIN,L (-7),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
51,,2016-02-08,26-147,CHI,@,CHO,L (-17),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
52,,2016-02-10,26-149,CHI,,ATL,L (-23),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
53,,2016-02-18,26-157,CHI,@,CLE,L (-11),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
54,,2016-02-19,26-158,CHI,,TOR,W (+10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
55,,2016-02-21,26-160,CHI,,LAL,W (+11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
56,,2016-02-24,26-163,CHI,,WAS,W (+5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
57,,2016-02-26,26-165,CHI,@,ATL,L (-15),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
58,,2016-02-27,26-166,CHI,,POR,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
59,,2016-03-01,26-169,CHI,@,MIA,L (-18),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
60,,2016-03-02,26-170,CHI,@,ORL,L (-13),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
61,49,2016-03-05,26-173,CHI,,HOU,W (+8),1,33:58,6,13,.462,1,2,.500,11,12,.917,0,11,11,6,1,0,5,6,24,18.0,+28,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
62,,2016-03-07,26-175,CHI,,MIL,W (+10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
63,,2016-03-10,26-178,CHI,@,SAS,L (-8),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
64,,2016-03-11,26-179,CHI,,MIA,L (-22),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
65,50,2016-03-14,26-182,CHI,@,TOR,W (+2),1,33:57,5,18,.278,0,2,.000,3,4,.750,1,4,5,6,0,2,0,1,13,9.1,-9,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
66,51,2016-03-16,26-184,CHI,@,WAS,L (-21),1,28:42,4,12,.333,0,2,.000,9,11,.818,1,5,6,3,3,0,1,1,17,15.3,-26,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
67,52,2016-03-17,26-185,CHI,,BRK,W (+16),1,31:39,7,12,.583,0,1,.000,8,8,1.000,0,3,3,7,1,0,1,1,22,21.8,+8,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
68,53,2016-03-19,26-187,CHI,,UTA,W (+7),1,33:03,6,14,.429,0,0,,1,2,.500,0,5,5,6,0,0,1,1,13,9.5,+5,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
69,54,2016-03-21,26-189,CHI,,SAC,W (+7),1,35:28,3,10,.300,0,1,.000,5,7,.714,2,1,3,8,5,0,0,0,11,16.7,+16,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
70,55,2016-03-23,26-191,CHI,,NYK,L (-8),1,35:32,3,11,.273,0,1,.000,1,2,.500,1,3,4,8,2,1,0,1,7,9.6,-11,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
71,56,2016-03-24,26-192,CHI,@,NYK,L (-12),1,38:59,7,15,.467,1,3,.333,4,6,.667,1,2,3,3,3,1,4,3,19,12.4,-11,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
72,57,2016-03-26,26-194,CHI,@,ORL,L (-22),1,29:31,5,10,.500,0,1,.000,2,4,.500,0,5,5,1,2,1,1,2,12,9.3,-7,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
73,58,2016-03-28,26-196,CHI,,ATL,L (-2),1,35:16,5,16,.313,2,7,.286,3,3,1.000,4,4,8,4,0,0,0,2,15,11.8,-2,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
74,59,2016-03-29,26-197,CHI,@,IND,W (+2),1,35:30,6,10,.600,0,2,.000,2,2,1.000,1,3,4,3,2,0,1,4,14,12.5,-12,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
75,60,2016-03-31,26-199,CHI,@,HOU,W (+3),1,39:01,8,13,.615,1,2,.500,4,4,1.000,1,7,8,6,2,1,3,1,21,21.4,+3,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
76,61,2016-04-02,26-201,CHI,,DET,L (-4),1,39:08,10,25,.400,1,7,.143,7,8,.875,5,12,17,12,3,2,3,4,28,29.4,+2,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
77,62,2016-04-03,26-202,CHI,@,MIL,W (+4),1,38:04,10,11,.909,1,2,.500,4,4,1.000,1,4,5,8,1,1,2,1,25,28.1,+7,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
78,63,2016-04-05,26-204,CHI,@,MEM,L (-16),1,35:23,2,8,.250,0,4,.000,1,2,.500,2,2,4,2,1,0,2,0,5,2.2,-12,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
79,64,2016-04-07,26-206,CHI,@,MIA,L (-8),1,40:04,7,17,.412,1,4,.250,10,10,1.000,0,1,1,6,0,1,4,1,25,16.7,-13,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
80,65,2016-04-09,26-208,CHI,,CLE,W (+3),1,38:33,7,17,.412,2,3,.667,5,5,1.000,1,1,2,6,3,0,2,3,21,16.9,-7,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
81,66,2016-04-11,26-210,CHI,@,NOP,W (+5),1,29:01,8,11,.727,1,1,1.000,6,7,.857,0,3,3,11,0,1,4,1,23,23.0,+6,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
82,67,2016-04-13,26-212,CHI,,PHI,W (+10),1,25:39,4,12,.333,0,0,,2,3,.667,5,7,12,10,0,1,3,1,10,12.7,+14,2016,butleji01,https://www.basketball-reference.com/players/b/butleji01/gamelog/2016
