Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
17,,2015-11-28,22-187,TOR,@,WAS,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
18,,2015-11-29,22-188,TOR,,PHO,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
19,,2015-12-02,22-191,TOR,@,ATL,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
20,,2015-12-03,22-192,TOR,,DEN,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
21,,2015-12-05,22-194,TOR,,GSW,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
22,9,2015-12-07,22-196,TOR,,LAL,W (+9),0,4:56,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,1,0,-1.5,+1,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
23,,2015-12-09,22-198,TOR,,SAS,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
24,,2015-12-11,22-200,TOR,,MIL,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
25,10,2015-12-13,22-202,TOR,,PHI,W (+20),0,1:30,1,1,1.000,0,0,,0,0,,0,0,0,1,2,0,0,0,2,4.4,+4,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
26,11,2015-12-14,22-203,TOR,@,IND,L (-16),0,6:31,2,5,.400,1,2,.500,0,1,.000,2,1,3,1,1,0,0,2,5,4.5,+7,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
27,12,2015-12-17,22-206,TOR,@,CHO,L (-10),0,3:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+2,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
28,,2015-12-18,22-207,TOR,@,MIA,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
29,,2015-12-20,22-209,TOR,,SAC,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
30,,2015-12-22,22-211,TOR,,DAL,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
31,,2015-12-26,22-215,TOR,@,MIL,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
32,,2015-12-28,22-217,TOR,@,CHI,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
33,,2015-12-30,22-219,TOR,,WAS,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
34,,2016-01-01,22-221,TOR,,CHO,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
35,,2016-01-03,22-223,TOR,,CHI,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
36,13,2016-01-04,22-224,TOR,@,CLE,L (-22),0,2:56,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,-4,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
37,14,2016-01-06,22-226,TOR,@,BRK,W (+17),0,1:07,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,-1,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
38,,2016-01-08,22-228,TOR,@,WAS,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
39,15,2016-01-09,22-229,TOR,@,PHI,W (+13),0,1:52,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-4,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
40,16,2016-01-14,22-234,TOR,@,ORL,W (+3),0,2:49,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
41,17,2016-01-18,22-238,TOR,,BRK,W (+12),0,0:46,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
42,,2016-01-20,22-240,TOR,,BOS,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
43,,2016-01-22,22-242,TOR,,MIA,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
44,,2016-01-24,22-244,TOR,,LAC,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
45,18,2016-01-26,22-246,TOR,,WAS,W (+17),0,2:13,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,+2,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
46,19,2016-01-28,22-248,TOR,,NYK,W (+10),0,3:46,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+1,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
47,,2016-01-30,22-250,TOR,,DET,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
48,20,2016-02-01,22-252,TOR,@,DEN,L (-19),0,13:14,0,5,.000,0,2,.000,2,2,1.000,0,2,2,1,1,1,0,0,2,1.5,+1,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
49,21,2016-02-02,22-253,TOR,@,PHO,W (+7),1,14:54,0,3,.000,0,0,,0,0,,0,1,1,1,2,0,1,2,0,-0.9,-1,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
50,22,2016-02-04,22-255,TOR,@,POR,W (+7),1,13:28,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,2,0,-0.5,+2,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
51,23,2016-02-08,22-259,TOR,@,DET,W (+14),1,15:50,0,1,.000,0,1,.000,1,2,.500,0,2,2,0,1,0,2,4,1,-2.1,+5,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
52,24,2016-02-10,22-261,TOR,@,MIN,L (-5),1,11:36,4,6,.667,0,2,.000,0,0,,0,2,2,0,0,0,0,2,8,5.2,-11,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
53,,2016-02-19,22-270,TOR,@,CHI,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
54,,2016-02-21,22-272,TOR,,MEM,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
55,25,2016-02-22,22-273,TOR,@,NYK,W (+27),0,1:49,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-0.7,+3,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
56,26,2016-02-24,22-275,TOR,,MIN,W (+9),0,5:28,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,0,0,0,1.3,+3,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
57,,2016-02-26,22-277,TOR,,CLE,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
58,27,2016-02-28,22-279,TOR,@,DET,L (-13),0,5:52,3,5,.600,0,1,.000,0,0,,0,3,3,1,1,0,0,0,6,6.3,+13,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
59,,2016-03-02,22-282,TOR,,UTA,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
60,28,2016-03-04,22-284,TOR,,POR,W (+2),1,21:30,3,5,.600,2,3,.667,2,2,1.000,2,4,6,1,0,0,1,3,10,8.8,+6,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
61,29,2016-03-06,22-286,TOR,,HOU,L (-6),0,3:13,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,1,0,0,2,1.7,+5,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
62,30,2016-03-08,22-288,TOR,,BRK,W (+5),1,20:32,1,4,.250,1,2,.500,2,2,1.000,1,2,3,2,0,1,1,0,5,5.0,-1,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
63,31,2016-03-10,22-290,TOR,,ATL,W (+8),1,16:37,1,3,.333,0,1,.000,0,0,,0,1,1,3,2,0,0,1,2,4.3,-5,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
64,,2016-03-12,22-292,TOR,,MIA,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
65,32,2016-03-14,22-294,TOR,,CHI,L (-2),0,3:54,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-1.5,0,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
66,33,2016-03-15,22-295,TOR,@,MIL,W (+18),1,34:30,6,15,.400,3,7,.429,2,2,1.000,0,3,3,2,1,2,0,3,17,12.4,+10,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
67,34,2016-03-17,22-297,TOR,@,IND,W (+7),1,20:13,3,9,.333,0,1,.000,0,0,,2,3,5,1,0,0,0,3,6,2.7,+7,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
68,35,2016-03-18,22-298,TOR,,BOS,W (+14),1,21:34,3,5,.600,2,3,.667,2,2,1.000,0,2,2,0,0,0,2,1,10,5.9,-3,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
69,36,2016-03-20,22-300,TOR,,ORL,W (+5),1,23:04,1,6,.167,1,4,.250,0,0,,1,2,3,0,0,0,0,3,3,-0.7,-9,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
70,37,2016-03-23,22-303,TOR,@,BOS,L (-12),1,12:14,1,3,.333,0,2,.000,0,0,,0,2,2,3,0,1,1,1,2,2.3,-2,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
71,38,2016-03-25,22-305,TOR,@,HOU,L (-3),1,38:58,5,13,.385,3,6,.500,0,0,,0,4,4,2,1,1,3,3,13,6.0,+5,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
72,39,2016-03-26,22-306,TOR,@,NOP,W (+24),1,33:45,5,11,.455,2,6,.333,3,3,1.000,0,7,7,2,0,0,2,3,15,9.6,+23,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
73,40,2016-03-28,22-308,TOR,,OKC,L (-19),1,27:49,7,13,.538,4,7,.571,0,0,,1,3,4,0,0,2,0,2,18,13.9,-22,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
74,41,2016-03-30,22-310,TOR,,ATL,W (+8),1,25:02,3,6,.500,2,3,.667,2,2,1.000,0,4,4,2,2,0,1,2,10,9.8,+4,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
75,42,2016-04-01,22-312,TOR,@,MEM,W (+4),1,30:30,4,4,1.000,2,2,1.000,4,4,1.000,0,4,4,5,2,1,4,0,14,16.2,+10,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
76,43,2016-04-02,22-313,TOR,@,SAS,L (-7),1,32:20,6,10,.600,1,2,.500,4,5,.800,0,3,3,2,1,0,3,3,17,11.1,0,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
77,44,2016-04-05,22-316,TOR,,CHO,W (+6),1,22:52,2,6,.333,0,4,.000,0,0,,1,3,4,1,2,0,1,2,4,3.1,+7,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
78,45,2016-04-07,22-318,TOR,@,ATL,L (-8),1,31:02,4,8,.500,2,4,.500,0,0,,0,4,4,1,0,0,0,2,10,7.1,-6,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
79,46,2016-04-08,22-319,TOR,,IND,W (+13),1,41:12,5,11,.455,3,4,.750,14,19,.737,0,6,6,4,1,0,3,2,27,21.1,+11,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
80,47,2016-04-10,22-321,TOR,@,NYK,W (+4),1,20:43,1,6,.167,0,2,.000,0,0,,0,1,1,1,1,0,0,1,2,-0.2,0,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
81,48,2016-04-12,22-323,TOR,,PHI,W (+24),1,38:22,6,10,.600,2,4,.500,4,4,1.000,0,4,4,1,3,0,2,2,18,15.5,+15,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
82,49,2016-04-13,22-324,TOR,@,BRK,W (+7),1,36:35,12,18,.667,5,6,.833,1,3,.333,1,8,9,5,1,0,1,2,30,27.2,0,2016,powelno01,https://www.basketball-reference.com/players/p/powelno01/gamelog/2016
