Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
11,6,2012-11-21,22-240,ORL,,DET,W (+16),0,7:49,0,1,.000,0,0,,0,0,,0,2,2,1,0,1,0,0,0,1.3,-4,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
12,,2012-11-23,22-242,ORL,,CLE,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
13,,2012-11-25,22-244,ORL,,BOS,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
14,7,2012-11-28,22-247,ORL,,SAS,L (-21),0,8:32,2,6,.333,0,0,,2,2,1.000,4,1,5,2,0,0,0,0,6,7.1,+4,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
15,8,2012-11-30,22-249,ORL,,BRK,L (-12),0,6:45,1,2,.500,0,0,,2,2,1.000,1,2,3,1,1,0,0,1,4,5.6,+14,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
16,9,2012-12-02,22-251,ORL,@,LAL,W (+10),0,7:33,2,2,1.000,0,0,,2,2,1.000,1,1,2,0,0,2,0,3,6,6.6,-5,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
17,,2012-12-03,22-252,ORL,@,GSW,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
18,,2012-12-05,22-254,ORL,@,UTA,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
19,10,2012-12-07,22-256,ORL,@,SAC,L (-9),0,3:13,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,-5,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
20,,2012-12-09,22-258,ORL,@,PHO,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
21,,2012-12-12,22-261,ORL,,ATL,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
22,11,2012-12-14,22-263,ORL,,GSW,W (+14),0,1:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,0,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
23,,2012-12-15,22-264,ORL,@,CHA,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
24,12,2012-12-17,22-266,ORL,,MIN,W (+9),0,2:07,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.9,-6,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
25,,2012-12-19,22-268,ORL,,WAS,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
26,,2012-12-21,22-270,ORL,@,TOR,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
27,13,2012-12-23,22-272,ORL,,UTA,L (-4),0,7:49,1,1,1.000,0,0,,0,0,,1,1,2,1,0,1,0,1,2,3.7,-3,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
28,,2012-12-26,22-275,ORL,,NOH,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
29,14,2012-12-28,22-277,ORL,@,WAS,L (-8),0,3:08,1,3,.333,0,0,,0,0,,0,0,0,1,0,1,0,2,2,0.9,-5,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
30,15,2012-12-29,22-278,ORL,,TOR,L (-35),0,8:19,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-11,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
31,16,2012-12-31,22-280,ORL,,MIA,L (-2),0,2:45,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-0.3,-3,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
32,17,2013-01-02,22-282,ORL,,CHI,L (-2),0,2:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
33,,2013-01-05,22-285,ORL,,NYK,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
34,,2013-01-07,22-287,ORL,@,POR,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
35,18,2013-01-09,22-289,ORL,@,DEN,L (-3),0,10:56,2,2,1.000,0,0,,0,0,,0,1,1,1,0,2,0,4,4,4.2,0,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
36,19,2013-01-12,22-292,ORL,@,LAC,W (+3),0,3:46,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,0,0,2.0,+3,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
37,20,2013-01-14,22-294,ORL,@,WAS,L (-29),0,7:48,2,3,.667,0,0,,0,0,,1,3,4,0,0,0,0,1,4,3.9,-11,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
38,21,2013-01-16,22-296,ORL,,IND,W (+11),0,2:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-8,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
39,22,2013-01-18,22-298,ORL,,CHA,L (-6),0,2:55,1,1,1.000,0,0,,0,1,.000,0,0,0,0,0,0,0,1,2,0.9,+2,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
40,,2013-01-20,22-300,ORL,,DAL,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
41,23,2013-01-22,22-302,ORL,@,DET,L (-15),0,4:06,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,0,2,0.6,+3,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
42,,2013-01-24,22-304,ORL,,TOR,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
43,,2013-01-27,22-307,ORL,,DET,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
44,24,2013-01-28,22-308,ORL,@,BRK,L (-20),0,4:20,2,3,.667,0,0,,0,0,,2,0,2,0,0,1,0,0,4,4.8,+4,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
45,25,2013-01-30,22-310,ORL,@,NYK,L (-16),0,8:32,2,3,.667,0,0,,0,0,,1,2,3,0,0,0,2,1,4,1.6,-2,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
46,26,2013-02-01,22-312,ORL,@,BOS,L (-13),0,7:05,5,6,.833,0,0,,1,1,1.000,3,0,3,1,0,0,0,1,11,11.2,+10,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
47,27,2013-02-02,22-313,ORL,@,MIL,L (-9),0,11:41,4,7,.571,0,0,,1,2,.500,2,1,3,0,0,0,1,0,9,6.0,-2,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
48,28,2013-02-04,22-315,ORL,@,PHI,L (-17),0,17:15,1,3,.333,0,0,,0,0,,0,4,4,1,0,1,1,2,2,1.1,+1,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
49,29,2013-02-06,22-317,ORL,,LAC,L (-10),0,19:27,4,6,.667,0,0,,2,2,1.000,5,4,9,3,1,1,0,3,10,14.7,+10,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
50,30,2013-02-08,22-319,ORL,@,CLE,L (-11),0,9:32,2,5,.400,0,0,,1,2,.500,1,1,2,1,0,0,2,2,5,0.8,-2,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
51,31,2013-02-10,22-321,ORL,,POR,W (+6),0,11:07,3,5,.600,0,0,,1,3,.333,2,0,2,0,1,1,0,1,7,6.6,-13,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
52,32,2013-02-13,22-324,ORL,,ATL,L (-32),0,22:08,3,7,.429,0,0,,0,0,,2,6,8,1,2,1,1,4,6,6.3,-9,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
53,33,2013-02-19,22-330,ORL,,CHA,L (-13),0,12:14,2,5,.400,0,0,,0,0,,1,2,3,2,1,0,1,2,4,3.2,+7,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
54,34,2013-02-20,22-331,ORL,@,DAL,L (-15),0,3:59,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-4,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
55,35,2013-02-22,22-333,ORL,@,MEM,L (-6),0,22:49,3,5,.600,0,0,,0,0,,1,6,7,1,0,0,1,4,6,4.3,+2,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
56,36,2013-02-23,22-334,ORL,,CLE,L (-24),0,13:35,2,3,.667,0,0,,2,3,.667,1,6,7,2,0,1,0,5,6,6.9,+9,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
57,,2013-02-26,22-337,ORL,@,PHI,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
58,37,2013-02-27,22-338,ORL,,SAC,L (-24),0,14:00,3,4,.750,0,0,,0,0,,1,5,6,1,0,0,1,5,6,4.3,+1,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
59,,2013-03-01,22-340,ORL,,HOU,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
60,38,2013-03-03,22-342,ORL,,MEM,L (-26),0,12:00,0,4,.000,0,1,.000,2,4,.500,1,4,5,1,0,1,1,1,2,0.3,-1,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
61,,2013-03-04,22-343,ORL,@,NOH,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
62,,2013-03-06,22-345,ORL,@,MIA,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
63,39,2013-03-08,22-347,ORL,,IND,L (-29),0,16:17,1,4,.250,0,0,,0,0,,1,2,3,1,0,0,0,4,2,0.0,-5,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
64,,2013-03-10,22-349,ORL,,PHI,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
65,40,2013-03-12,22-351,ORL,,LAL,L (-9),0,5:26,2,3,.667,0,0,,0,0,,0,0,0,2,0,0,0,3,4,2.9,0,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
66,41,2013-03-15,22-354,ORL,@,OKC,L (-13),0,4:07,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,+6,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
67,42,2013-03-17,22-356,ORL,@,MIL,L (-6),0,5:15,0,1,.000,0,0,,0,0,,0,4,4,0,0,0,1,3,0,-1.7,+5,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
68,43,2013-03-19,22-358,ORL,@,IND,L (-22),0,17:29,0,2,.000,0,0,,2,2,1.000,1,4,5,0,1,1,0,3,2,3.0,-11,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
69,44,2013-03-20,22-359,ORL,@,NYK,L (-12),0,25:04,5,10,.500,0,0,,2,4,.500,5,9,14,4,0,0,3,2,12,11.4,+15,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
70,45,2013-03-22,22-361,ORL,,OKC,L (-8),1,26:47,5,11,.455,0,0,,1,2,.500,3,6,9,0,1,0,3,3,11,5.6,+8,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
71,46,2013-03-25,22-364,ORL,,MIA,L (-14),1,23:23,6,7,.857,0,0,,0,0,,2,4,6,0,0,1,2,3,12,9.6,+2,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
72,47,2013-03-27,23-001,ORL,@,CHA,L (-6),1,42:15,11,14,.786,0,0,,1,2,.500,3,8,11,6,1,0,0,5,23,24.9,-8,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
73,48,2013-03-29,23-003,ORL,,WAS,W (+5),1,22:00,2,4,.500,0,0,,0,0,,3,1,4,4,0,2,1,3,4,6.4,-6,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
74,49,2013-03-30,23-004,ORL,@,ATL,L (-9),0,22:34,1,4,.250,0,0,,0,0,,1,6,7,0,0,1,2,6,2,-1.6,-2,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
75,50,2013-04-01,23-006,ORL,@,HOU,L (-8),0,12:20,5,7,.714,0,0,,0,0,,4,4,8,0,0,0,1,3,10,8.9,0,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
76,51,2013-04-03,23-008,ORL,@,SAS,L (-14),0,11:01,0,3,.000,0,0,,0,0,,1,2,3,4,0,0,1,2,0,0.2,-12,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
77,52,2013-04-05,23-010,ORL,@,CHI,L (-1),0,7:47,4,5,.800,0,0,,0,0,,1,3,4,0,0,0,0,1,8,7.3,-1,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
78,53,2013-04-07,23-012,ORL,@,CLE,L (-6),0,14:53,1,2,.500,0,0,,0,0,,1,3,4,1,0,2,1,2,2,2.9,-9,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
79,54,2013-04-10,23-015,ORL,,MIL,W (+10),0,14:01,2,6,.333,0,0,,0,1,.000,2,5,7,0,0,0,1,1,4,1.7,-7,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
80,55,2013-04-13,23-018,ORL,,BOS,L (-32),1,24:17,2,10,.200,0,0,,0,0,,1,5,6,3,1,0,3,6,4,-2.3,-19,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
81,56,2013-04-15,23-020,ORL,,CHI,L (-18),0,22:28,3,6,.500,0,0,,2,4,.500,1,8,9,2,0,1,1,1,8,8.0,+2,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
82,57,2013-04-17,23-022,ORL,@,MIA,L (-12),0,9:26,0,1,.000,0,0,,0,0,,2,2,4,1,0,0,1,1,0,0.6,-1,2013,oquinky01,https://www.basketball-reference.com/players/o/oquinky01/gamelog/2013
