Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
11,11,2016-11-11,26-090,SAC,@,POR,L (-2),1,38:31,12,22,.545,3,7,.429,6,9,.667,2,7,9,3,1,2,3,5,33,24.2,-1,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
12,12,2016-11-16,26-095,SAC,,SAS,L (-5),1,36:32,7,16,.438,1,4,.250,11,14,.786,3,14,17,6,1,0,3,4,26,23.3,-2,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
13,13,2016-11-18,26-097,SAC,,LAC,L (-6),1,36:44,12,29,.414,2,7,.286,12,14,.857,4,9,13,7,3,1,4,4,38,30.2,-5,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
14,14,2016-11-20,26-099,SAC,,TOR,W (+3),1,30:22,7,22,.318,3,6,.500,2,3,.667,2,8,10,4,0,0,2,3,19,9.4,+9,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
15,15,2016-11-23,26-102,SAC,,OKC,W (+15),1,34:34,14,28,.500,3,5,.600,5,6,.833,2,11,13,2,0,0,2,3,36,24.5,+7,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
16,16,2016-11-25,26-104,SAC,,HOU,L (-13),1,30:26,12,22,.545,5,9,.556,3,5,.600,0,9,9,1,0,5,4,5,32,21.5,-15,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
17,17,2016-11-27,26-106,SAC,@,BRK,W (+17),1,35:45,13,24,.542,4,5,.800,7,9,.778,2,9,11,2,4,1,1,2,37,33.0,+17,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
18,18,2016-11-28,26-107,SAC,@,WAS,L (-6),1,40:01,16,34,.471,1,6,.167,3,10,.300,4,16,20,4,2,1,5,5,36,21.9,+6,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
19,19,2016-12-02,26-111,SAC,@,BOS,L (-5),1,33:56,10,26,.385,2,7,.286,6,8,.750,3,6,9,3,1,4,2,4,28,19.2,0,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
20,20,2016-12-04,26-113,SAC,@,NYK,L (-8),1,43:25,9,31,.290,4,10,.400,14,16,.875,5,8,13,4,1,3,2,0,36,26.9,+1,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
21,21,2016-12-07,26-116,SAC,@,DAL,W (+31),1,32:33,10,16,.625,2,2,1.000,2,3,.667,2,11,13,7,0,3,2,3,24,24.9,+34,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
22,22,2016-12-09,26-118,SAC,,NYK,L (-3),1,36:24,9,25,.360,0,6,.000,10,12,.833,3,9,12,6,3,1,3,2,28,22.2,-2,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
23,23,2016-12-10,26-119,SAC,@,UTA,L (-20),1,33:55,7,22,.318,1,6,.167,1,3,.333,3,7,10,4,1,1,3,3,16,7.1,-16,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
24,24,2016-12-12,26-121,SAC,,LAL,W (+24),1,34:50,12,22,.545,2,3,.667,5,7,.714,2,15,17,5,2,3,8,3,31,23.9,+30,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
25,,2016-12-14,26-123,SAC,@,HOU,L (-34),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
26,25,2016-12-16,26-125,SAC,@,MEM,W (+4),1,35:22,7,20,.350,0,3,.000,8,8,1.000,0,9,9,1,0,1,2,6,22,10.5,+6,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
27,26,2016-12-18,26-127,SAC,@,DAL,L (-20),1,34:51,12,24,.500,2,6,.333,7,10,.700,0,6,6,0,0,1,2,3,33,19.1,-16,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
28,27,2016-12-20,26-129,SAC,,POR,W (+5),1,40:35,17,28,.607,5,8,.625,16,17,.941,1,13,14,1,1,3,5,5,55,43.2,+3,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
29,28,2016-12-21,26-130,SAC,@,UTA,W (+1),1,31:24,5,18,.278,1,3,.333,10,13,.769,1,7,8,3,0,1,3,2,21,11.0,-4,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
30,29,2016-12-23,26-132,SAC,@,MIN,W (+4),1,36:38,13,24,.542,3,6,.500,3,5,.600,2,5,7,7,4,2,5,3,32,26.6,+11,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
31,30,2016-12-26,26-135,SAC,,PHI,W (+2),1,34:16,10,20,.500,2,4,.500,8,9,.889,2,5,7,5,3,2,5,4,30,23.8,-11,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
32,31,2016-12-28,26-137,SAC,@,POR,L (-13),1,35:22,8,19,.421,3,6,.500,9,10,.900,1,7,8,6,2,1,2,5,28,23.2,-3,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
33,32,2016-12-31,26-140,SAC,,MEM,L (-14),1,38:03,7,18,.389,0,3,.000,12,13,.923,2,2,4,8,5,0,5,4,26,21.8,-8,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
34,33,2017-01-03,26-143,SAC,@,DEN,W (+7),1,34:15,10,25,.400,3,7,.429,8,8,1.000,0,6,6,6,0,1,0,3,31,23.0,-2,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
35,34,2017-01-04,26-144,SAC,,MIA,L (-5),1,31:41,4,15,.267,0,4,.000,5,8,.625,0,6,6,4,2,0,1,5,13,6.5,-27,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
36,35,2017-01-06,26-146,SAC,,LAC,L (-8),1,35:35,9,19,.474,3,8,.375,4,6,.667,2,9,11,7,3,2,4,3,25,22.7,+5,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
37,36,2017-01-08,26-148,SAC,,GSW,L (-11),1,29:18,4,11,.364,1,3,.333,8,9,.889,0,10,10,5,1,2,7,4,17,10.8,-15,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
38,37,2017-01-10,26-150,SAC,,DET,W (+6),1,30:17,8,14,.571,4,5,.800,4,7,.571,4,9,13,6,1,1,3,4,24,23.0,+7,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
39,38,2017-01-13,26-153,SAC,,CLE,L (-12),1,38:38,9,16,.563,1,5,.200,7,9,.778,0,7,7,11,1,0,6,3,26,21.2,-2,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
40,39,2017-01-15,26-155,SAC,,OKC,L (-4),1,34:18,8,20,.400,1,6,.167,14,17,.824,6,5,11,7,3,1,6,2,31,26.5,-3,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
41,40,2017-01-18,26-158,SAC,,IND,L (-6),1,38:22,7,19,.368,1,2,.500,10,14,.714,1,11,12,10,1,3,9,3,25,16.8,+4,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
42,41,2017-01-20,26-160,SAC,@,MEM,L (-16),1,28:29,5,11,.455,2,3,.667,7,10,.700,1,9,10,2,0,1,4,4,19,12.0,-4,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
43,42,2017-01-21,26-161,SAC,@,CHI,L (-3),1,35:23,16,28,.571,2,7,.286,8,9,.889,2,12,14,3,1,2,2,4,42,34.3,-6,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
44,43,2017-01-23,26-163,SAC,@,DET,W (+5),1,32:13,8,21,.381,1,3,.333,5,8,.625,2,11,13,6,3,2,6,2,22,15.8,-4,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
45,44,2017-01-25,26-165,SAC,@,CLE,W (+4),1,39:26,11,30,.367,0,5,.000,6,9,.667,2,9,11,9,3,1,2,3,28,21.1,+2,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
46,45,2017-01-27,26-167,SAC,@,IND,L (-4),1,38:48,8,16,.500,1,4,.250,9,14,.643,3,13,16,5,0,1,6,5,26,18.2,-12,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
47,46,2017-01-28,26-168,SAC,@,CHO,W (+3),1,34:14,13,22,.591,2,2,1.000,7,9,.778,7,11,18,4,0,1,2,4,35,32.1,+11,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
48,47,2017-01-30,26-170,SAC,@,PHI,L (-3),1,32:16,11,16,.688,4,6,.667,20,22,.909,4,11,15,5,1,1,8,6,46,39.3,-6,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
49,48,2017-01-31,26-171,SAC,@,HOU,L (-22),1,25:13,5,16,.313,1,4,.250,5,7,.714,1,6,7,5,0,0,2,2,16,9.2,-19,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
50,49,2017-02-03,26-174,SAC,,PHO,L (-2),1,34:21,6,16,.375,3,7,.429,7,9,.778,1,10,11,12,1,2,5,5,22,19.9,+6,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
51,50,2017-02-04,26-175,SAC,,GSW,W (+3),1,40:04,13,30,.433,0,5,.000,6,6,1.000,3,9,12,8,2,1,7,5,32,20.3,-2,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
52,51,2017-02-06,26-177,SAC,,CHI,L (-5),1,38:16,5,16,.313,3,9,.333,5,6,.833,2,12,14,5,1,1,2,5,18,14.6,-10,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
53,,2017-02-08,26-179,SAC,,BOS,W (+16),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
54,52,2017-02-10,26-181,SAC,,ATL,W (+1),1,31:36,6,17,.353,2,8,.250,8,13,.615,2,9,11,7,2,1,9,5,22,11.2,-8,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
55,53,2017-02-12,26-183,SAC,,NOP,W (+6),1,35:47,7,14,.500,0,4,.000,14,16,.875,2,12,14,7,2,1,7,3,28,24.6,+1,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
56,54,2017-02-14,26-185,SAC,@,LAL,W (+1),1,35:59,13,24,.542,2,7,.286,12,19,.632,2,10,12,8,2,1,6,2,40,31.5,+19,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
57,55,2017-02-15,26-186,SAC,@,GSW,L (-23),1,22:39,6,14,.429,1,3,.333,0,1,.000,0,4,4,6,0,1,3,1,13,7.9,-12,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
58,56,2017-02-23,26-194,NOP,,HOU,L (-30),1,34:39,11,19,.579,1,5,.200,4,5,.800,3,10,13,5,5,4,1,4,27,31.5,-13,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
59,57,2017-02-25,26-196,NOP,@,DAL,L (-13),1,31:58,3,9,.333,2,5,.400,4,8,.500,3,12,15,6,3,0,7,3,12,10.0,-15,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
60,58,2017-02-26,26-197,NOP,@,OKC,L (-8),1,21:17,8,15,.533,0,3,.000,15,15,1.000,2,8,10,3,0,0,1,6,31,26.2,+2,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
61,,2017-03-01,26-200,NOP,,DET,W (+23),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
62,59,2017-03-03,26-202,NOP,,SAS,L (-3),1,42:50,7,18,.389,1,6,.167,4,5,.800,4,20,24,4,0,0,6,5,19,12.4,+2,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
63,60,2017-03-05,26-204,NOP,@,LAL,W (+8),1,31:01,9,21,.429,3,5,.600,5,6,.833,4,11,15,2,0,1,4,6,26,16.3,-8,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
64,61,2017-03-06,26-205,NOP,@,UTA,L (-5),1,37:36,5,15,.333,1,4,.250,4,4,1.000,0,8,8,3,1,0,4,2,15,7.2,-2,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
65,62,2017-03-08,26-207,NOP,,TOR,L (-7),1,39:18,8,23,.348,3,8,.375,6,7,.857,2,8,10,3,1,2,5,5,25,13.0,-6,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
66,63,2017-03-11,26-210,NOP,@,CHO,W (+3),1,25:05,4,11,.364,1,2,.500,2,5,.400,0,4,4,4,0,0,6,5,11,-0.3,-10,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
67,64,2017-03-14,26-213,NOP,,POR,W (+23),1,30:12,9,22,.409,0,5,.000,4,10,.400,1,8,9,3,3,2,0,2,22,16.6,+17,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
68,65,2017-03-15,26-214,NOP,@,MIA,L (-8),1,30:12,8,17,.471,2,3,.667,1,3,.333,1,8,9,1,2,0,4,5,19,9.3,-15,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
69,,2017-03-17,26-216,NOP,,HOU,W (+16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
70,66,2017-03-19,26-218,NOP,,MIN,W (+14),1,31:05,7,14,.500,1,5,.200,0,0,,1,10,11,4,3,0,4,4,15,11.9,+12,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
71,67,2017-03-21,26-220,NOP,,MEM,W (+13),1,36:48,14,27,.519,5,9,.556,8,9,.889,4,12,16,2,2,2,2,5,41,34.5,+22,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
72,68,2017-03-24,26-223,NOP,@,HOU,L (-10),1,29:52,10,25,.400,5,9,.556,4,5,.800,2,4,6,4,1,4,3,4,29,19.7,-8,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
73,,2017-03-26,26-225,NOP,@,DEN,W (+25),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
74,,2017-03-27,26-226,NOP,@,UTA,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
75,69,2017-03-29,26-228,NOP,,DAL,W (+3),1,39:54,9,19,.474,1,5,.200,10,12,.833,2,14,16,6,0,1,1,3,29,26.8,+14,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
76,70,2017-03-31,26-230,NOP,,SAC,W (+28),1,34:32,12,21,.571,5,8,.625,8,11,.727,2,11,13,4,3,1,5,5,37,30.1,+14,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
77,71,2017-04-02,26-232,NOP,,CHI,L (-7),1,41:55,8,16,.500,2,6,.333,8,8,1.000,1,17,18,3,0,1,7,5,26,17.6,+4,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
78,72,2017-04-04,26-234,NOP,,DEN,L (-3),1,35:59,10,22,.455,3,8,.375,7,8,.875,5,9,14,9,1,1,2,6,30,28.0,-6,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
79,,2017-04-07,26-237,NOP,@,DEN,L (-16),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
80,,2017-04-08,26-238,NOP,@,GSW,L (-22),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
81,,2017-04-11,26-241,NOP,@,LAL,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
82,,2017-04-12,26-242,NOP,@,POR,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,couside01,https://www.basketball-reference.com/players/c/couside01/gamelog/2017
