Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
11,11,1999-02-22,20-248,DAL,@,PHO,L (-18),0,18:59,4,9,.444,0,3,.000,3,3,1.000,0,1,1,1,0,1,0,0,11,8.0,-3,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
12,12,1999-02-23,20-249,DAL,,ATL,W (+4),0,5:10,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,+4,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
13,13,1999-02-25,20-251,DAL,,DEN,W (+9),0,4:30,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-2.2,0,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
14,14,1999-02-26,20-252,DAL,@,UTA,L (-15),1,36:28,1,7,.143,0,2,.000,3,4,.750,1,6,7,0,1,2,3,5,5,0.0,-4,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
15,,1999-02-27,20-253,DAL,,SAC,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
16,15,1999-03-02,20-256,DAL,,LAC,W (+13),0,4:37,2,3,.667,0,1,.000,2,2,1.000,0,2,2,1,0,0,0,3,6,4.8,+3,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
17,16,1999-03-04,20-258,DAL,,SAS,L (-16),0,26:07,4,11,.364,1,3,.333,2,3,.667,1,5,6,1,1,2,3,4,11,5.2,+2,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
18,17,1999-03-05,20-259,DAL,@,UTA,L (-11),0,24:07,4,9,.444,0,2,.000,2,3,.667,3,1,4,1,2,0,1,4,10,7.4,+9,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
19,18,1999-03-07,20-261,DAL,@,SAC,L (-5),0,11:55,0,3,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,2,2,-0.6,-3,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
20,19,1999-03-09,20-263,DAL,,PHO,L (-12),0,10:12,2,4,.500,0,1,.000,0,0,,2,0,2,0,0,0,0,1,4,3.0,-9,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
21,20,1999-03-11,20-265,DAL,,ORL,W (+17),0,9:08,2,4,.500,0,0,,3,5,.600,1,1,2,0,1,0,1,2,7,4.4,0,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
22,21,1999-03-13,20-267,DAL,,VAN,W (+17),0,12:05,1,4,.250,0,3,.000,2,2,1.000,0,2,2,0,0,0,3,0,4,-0.8,+4,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
23,22,1999-03-15,20-269,DAL,,POR,L (-15),0,13:49,3,6,.500,1,3,.333,1,2,.500,0,1,1,1,1,1,2,3,8,4.1,+1,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
24,23,1999-03-17,20-271,DAL,@,NJN,L (-1),0,17:39,5,9,.556,1,2,.500,0,0,,1,1,2,1,1,1,0,3,11,8.9,+14,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
25,24,1999-03-19,20-273,DAL,@,DET,L (-7),0,7:34,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,2,0,2,2,0.2,-10,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
26,25,1999-03-20,20-274,DAL,,SAC,W (+14),0,5:11,0,2,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-0.8,-3,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
27,,1999-03-22,20-276,DAL,,LAL,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
28,26,1999-03-24,20-278,DAL,,HOU,L (-10),0,4:55,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,2,0,-3.5,-1,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
29,27,1999-03-26,20-280,DAL,,DEN,W (+19),0,15:42,3,4,.750,1,1,1.000,1,1,1.000,0,2,2,0,1,0,2,3,8,4.8,+3,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
30,28,1999-03-27,20-281,DAL,@,SAS,L (-22),0,12:31,1,3,.333,0,1,.000,0,0,,0,1,1,2,0,1,2,0,2,0.7,-15,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
31,29,1999-03-29,20-283,DAL,,SEA,L (-8),0,17:08,3,7,.429,0,3,.000,5,5,1.000,3,1,4,3,0,0,0,2,11,11.0,+5,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
32,30,1999-03-30,20-284,DAL,@,MIN,L (-20),0,9:49,1,3,.333,0,1,.000,2,2,1.000,1,0,1,0,1,0,1,1,4,2.6,+3,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
33,,1999-04-01,20-286,DAL,,LAC,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
34,31,1999-04-05,20-290,DAL,@,MIN,L (-7),0,24:35,4,6,.667,0,1,.000,4,4,1.000,2,4,6,1,0,1,0,6,12,11.0,-8,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
35,32,1999-04-07,20-292,DAL,@,MIA,L (-6),0,3:15,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-1,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
36,33,1999-04-10,20-295,DAL,,GSW,L (-1),0,3:42,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+4,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
37,34,1999-04-13,20-298,DAL,,SAS,W (+6),1,32:02,4,14,.286,0,4,.000,4,6,.667,4,9,13,4,1,0,2,1,12,9.9,+17,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
38,35,1999-04-15,20-300,DAL,,MIN,W (+6),1,16:52,2,5,.400,0,1,.000,0,0,,0,3,3,1,1,0,2,1,4,1.5,+8,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
39,36,1999-04-16,20-301,DAL,@,PHO,L (-7),1,43:55,10,16,.625,2,5,.400,7,8,.875,3,5,8,1,3,2,5,5,29,23.1,-5,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
40,37,1999-04-17,20-302,DAL,,POR,L (-8),1,40:13,6,11,.545,2,5,.400,3,5,.600,1,2,3,2,2,1,5,4,17,9.7,-5,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
41,38,1999-04-20,20-305,DAL,,PHO,W (+4),1,39:34,3,11,.273,0,2,.000,7,10,.700,1,8,9,4,1,1,4,6,13,6.5,+8,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
42,39,1999-04-21,20-306,DAL,@,HOU,W (+14),1,40:54,10,13,.769,2,2,1.000,0,0,,0,3,3,3,1,3,1,3,22,20.8,+13,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
43,40,1999-04-22,20-307,DAL,@,SAS,L (-27),1,40:03,3,8,.375,0,0,,2,3,.667,0,5,5,0,2,0,2,5,8,2.7,-23,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
44,41,1999-04-24,20-309,DAL,@,SAC,L (-3),1,27:19,5,7,.714,0,1,.000,2,3,.667,0,5,5,1,2,0,1,6,12,9.5,-8,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
45,42,1999-04-26,20-311,DAL,,CHI,W (+8),1,30:21,3,11,.273,0,0,,2,2,1.000,0,3,3,2,1,1,2,0,8,3.5,+18,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
46,43,1999-04-27,20-312,DAL,,VAN,W (+9),1,35:19,4,10,.400,0,0,,3,5,.600,2,3,5,2,1,1,1,4,11,7.6,+9,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
47,44,1999-04-29,20-314,DAL,@,HOU,W (+10),1,34:27,8,15,.533,0,2,.000,6,6,1.000,2,5,7,1,0,0,0,2,22,17.5,+4,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
48,45,1999-05-01,20-316,DAL,,GSW,W (+11),1,31:18,6,13,.462,0,0,,3,4,.750,0,3,3,2,0,0,3,3,15,6.0,+7,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
49,46,1999-05-03,20-318,DAL,@,LAL,L (-13),1,14:41,3,6,.500,0,0,,2,4,.500,0,1,1,0,0,0,1,6,8,1.1,-12,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
50,47,1999-05-04,20-319,DAL,@,SEA,L (-10),1,33:00,2,13,.154,0,3,.000,5,6,.833,2,3,5,1,2,0,3,6,9,-0.1,-14,1999,nowitdi01,https://www.basketball-reference.com/players/n/nowitdi01/gamelog/1999
