Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
11,11,1996-11-21,22-288,PHO,@,HOU,L (-10),0,25:31,6,11,.545,2,3,.667,0,0,,1,1,2,7,1,0,1,3,14,13.4,-9,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
12,12,1996-11-24,22-291,PHO,,MIA,L (-3),0,10:19,2,5,.400,0,1,.000,1,1,1.000,0,0,0,1,0,0,1,1,5,1.6,-6,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
13,13,1996-11-26,22-293,PHO,@,DEN,L (-9),0,13:56,1,5,.200,1,3,.333,1,2,.500,1,1,2,1,1,0,0,1,4,2.8,-13,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
14,14,1996-11-27,22-294,PHO,,NJN,W (+22),0,16:30,1,4,.250,1,2,.500,0,0,,1,0,1,4,1,0,3,2,3,1.3,+6,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
15,15,1996-11-29,22-296,PHO,@,SEA,L (-13),0,20:46,5,7,.714,2,3,.667,0,0,,0,2,2,2,0,0,4,2,12,6.3,+2,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
16,16,1996-12-04,22-301,PHO,,GSW,W (+31),0,6:24,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-0.7,+11,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
17,17,1996-12-08,22-305,PHO,,IND,W (+13),0,12:00,1,3,.333,0,0,,0,0,,1,2,3,3,0,0,1,2,2,1.9,-9,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
18,,1996-12-10,22-307,PHO,,SAS,W (+17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
19,,1996-12-12,22-309,PHO,@,UTA,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
20,,1996-12-13,22-310,PHO,@,MIN,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
21,18,1996-12-15,22-312,PHO,,VAN,W (+19),0,7:06,0,1,.000,0,1,.000,0,0,,0,1,1,4,0,0,1,0,0,1.4,-1,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
22,,1996-12-16,22-313,PHO,@,LAC,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
23,,1996-12-18,22-315,PHO,,WSB,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
24,19,1996-12-21,22-318,PHO,@,SAS,L (-13),0,12:00,2,4,.500,1,2,.500,2,4,.500,0,2,2,0,0,0,1,1,7,3.4,+5,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
25,,1996-12-23,22-320,PHO,,DEN,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
26,20,1996-12-25,22-322,PHO,,LAL,L (-21),0,9:37,2,3,.667,1,1,1.000,0,0,,0,0,0,1,1,0,0,1,5,5.0,-9,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
27,21,1996-12-28,22-325,PHO,@,VAN,W (+5),0,23:48,3,7,.429,0,2,.000,2,2,1.000,1,2,3,4,0,0,2,2,8,5.6,0,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
28,22,1996-12-30,22-327,PHO,,SAC,W (+12),0,12:21,0,0,,0,0,,2,4,.500,0,1,1,4,0,0,0,1,2,3.9,+3,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
29,23,1997-01-02,22-330,PHO,@,CLE,L (-9),0,5:23,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,2,0.5,-5,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
30,24,1997-01-03,22-331,PHO,@,IND,L (-13),0,12:09,1,3,.333,1,1,1.000,4,4,1.000,0,0,0,3,0,0,2,3,7,4.2,+1,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
31,25,1997-01-05,22-333,PHO,@,BOS,L (-7),0,6:21,0,1,.000,0,0,,0,0,,0,0,0,3,0,0,3,1,0,-2.0,-4,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
32,26,1997-01-07,22-335,PHO,@,ATL,L (-2),1,9:37,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,2,3,0,-3.6,-15,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
33,27,1997-01-08,22-336,PHO,@,WSB,L (-2),0,9:54,1,2,.500,0,1,.000,0,0,,1,0,1,4,2,0,1,3,2,4.3,0,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
34,28,1997-01-10,22-338,PHO,,CHH,W (+12),0,5:56,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,1.7,+2,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
35,29,1997-01-13,22-341,PHO,@,DAL,W (+7),0,9:03,0,3,.000,0,1,.000,0,0,,0,0,0,0,1,0,2,1,0,-3.5,-7,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
36,30,1997-01-14,22-342,PHO,,DEN,W (+9),0,8:13,1,2,.500,0,1,.000,1,1,1.000,0,0,0,4,1,0,1,0,3,4.8,+6,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
37,31,1997-01-16,22-344,PHO,@,UTA,L (-4),0,9:15,0,1,.000,0,1,.000,0,0,,1,1,2,3,0,0,1,3,0,0.2,-4,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
38,32,1997-01-18,22-346,PHO,,NYK,W (+7),0,3:57,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,0.7,-1,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
39,33,1997-01-20,22-348,PHO,,DET,W (+3),0,19:12,0,1,.000,0,1,.000,1,1,1.000,0,2,2,2,0,0,2,0,1,0.3,+10,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
40,34,1997-01-22,22-350,PHO,,UTA,L (-12),0,12:00,1,3,.333,1,2,.500,0,0,,0,1,1,4,0,0,2,4,3,0.8,+6,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
41,35,1997-01-24,22-352,PHO,,POR,L (-10),0,8:11,0,0,,0,0,,0,0,,0,0,0,3,0,0,0,4,0,0.5,-10,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
42,36,1997-01-27,22-355,PHO,@,MIA,L (-28),0,21:12,5,8,.625,3,3,1.000,0,0,,0,2,2,4,4,0,3,2,13,13.0,+2,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
43,37,1997-01-29,22-357,PHO,@,ORL,L (-7),0,24:09,2,4,.500,1,1,1.000,0,0,,0,1,1,3,0,0,0,2,5,4.6,-3,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
44,38,1997-01-30,22-358,PHO,@,NJN,L (-12),0,18:50,2,4,.500,1,3,.333,2,3,.667,1,1,2,3,0,0,0,5,7,5.7,+1,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
45,39,1997-02-01,22-360,PHO,@,TOR,L (-24),0,28:24,2,6,.333,1,2,.500,2,2,1.000,0,3,3,6,0,0,2,1,7,6.3,-18,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
46,40,1997-02-02,22-361,PHO,@,DET,W (+9),0,7:27,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,3,4.4,-3,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
47,41,1997-02-05,22-364,PHO,,ATL,W (+18),0,12:57,0,3,.000,0,0,,0,0,,1,2,3,2,0,0,1,2,0,-1.2,0,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
48,42,1997-02-11,23-004,PHO,@,POR,L (-3),0,6:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,6,0,-4.4,-9,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
49,43,1997-02-12,23-005,PHO,,BOS,W (+31),0,14:15,2,4,.500,1,1,1.000,0,0,,0,2,2,3,0,0,1,2,5,3.9,-8,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
50,44,1997-02-14,23-007,PHO,,LAC,W (+17),0,2:06,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
51,,1997-02-16,23-009,PHO,@,MIN,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
52,,1997-02-18,23-011,PHO,@,NYK,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
53,,1997-02-19,23-012,PHO,@,CHH,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
54,45,1997-02-21,23-014,PHO,,CLE,W (+6),0,3:30,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,3,3,1.5,+1,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
55,46,1997-02-23,23-016,PHO,,DAL,L (-2),0,7:58,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,1.0,-6,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
56,47,1997-02-26,23-019,PHO,,PHI,W (+7),0,6:06,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-3,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
57,,1997-03-02,23-023,PHO,@,DAL,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
58,48,1997-03-05,23-026,PHO,,POR,L (-22),0,7:10,0,1,.000,0,1,.000,0,0,,1,1,2,5,0,0,1,1,0,2.4,0,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
59,49,1997-03-07,23-028,PHO,,SAC,W (+17),0,1:10,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,4,4.0,+3,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
60,50,1997-03-09,23-030,PHO,,ORL,W (+36),0,4:54,0,1,.000,0,0,,0,0,,0,1,1,3,1,0,0,1,0,2.3,+7,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
61,,1997-03-11,23-032,PHO,,TOR,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
62,51,1997-03-13,23-034,PHO,@,LAC,W (+16),0,1:18,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-1,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
63,52,1997-03-15,23-036,PHO,,DAL,W (+25),0,1:21,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,+5,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
64,53,1997-03-17,23-038,PHO,@,GSW,W (+21),0,1:47,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,1,2,1.6,+2,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
65,54,1997-03-18,23-039,PHO,,LAC,L (-10),0,0:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
66,55,1997-03-20,23-041,PHO,,SAS,W (+7),0,0:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
67,,1997-03-22,23-043,PHO,@,HOU,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
68,,1997-03-25,23-046,PHO,,MIL,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
69,,1997-03-26,23-047,PHO,@,SEA,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
70,56,1997-03-28,23-049,PHO,,GSW,W (+7),0,7:18,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,+14,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
71,57,1997-03-30,23-051,PHO,,SEA,W (+1),0,0:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
72,58,1997-04-02,23-054,PHO,,HOU,W (+13),0,5:15,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+5,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
73,59,1997-04-04,23-056,PHO,@,DEN,W (+9),0,12:19,3,4,.750,1,1,1.000,0,0,,0,0,0,2,0,0,0,0,7,6.8,-6,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
74,60,1997-04-05,23-057,PHO,@,POR,W (+9),0,0:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
75,,1997-04-08,23-060,PHO,,MIN,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
76,61,1997-04-10,23-062,PHO,@,SAC,W (+2),0,6:53,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,2,0,2,-1.7,+2,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
77,62,1997-04-11,23-063,PHO,@,LAL,L (-16),0,2:07,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.7,-5,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
78,,1997-04-13,23-065,PHO,@,GSW,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
79,63,1997-04-15,23-067,PHO,,UTA,L (-5),0,5:11,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-1.1,-5,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
80,64,1997-04-18,23-070,PHO,@,SAS,W (+11),0,3:16,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,+2,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
81,65,1997-04-19,23-071,PHO,,VAN,L (-14),0,0:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,1997,nashst01,https://www.basketball-reference.com/players/n/nashst01/gamelog/1997
