Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
15,14,2019-11-22,31-124,BRK,,SAC,W (+19),0,19:21,3,5,.600,0,0,,0,2,.000,5,5,10,3,1,0,1,5,6,8.0,+13,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
16,15,2019-11-24,31-126,BRK,@,NYK,W (+2),0,16:10,2,3,.667,0,0,,2,2,1.000,2,3,5,1,0,1,1,1,6,7.0,-1,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
17,,2019-11-25,31-127,BRK,@,CLE,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
18,,2019-11-27,31-129,BRK,@,BOS,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
19,16,2019-11-29,31-131,BRK,,BOS,W (+5),0,22:37,4,6,.667,0,0,,0,0,,3,8,11,1,1,1,1,0,8,11.3,-10,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
20,17,2019-12-01,31-133,BRK,,MIA,L (-3),0,23:38,7,8,.875,0,0,,1,3,.333,2,6,8,2,1,0,1,2,15,15.2,-2,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
21,18,2019-12-04,31-136,BRK,@,ATL,W (+12),0,19:05,1,2,.500,0,0,,2,2,1.000,1,8,9,2,0,1,2,1,4,5.8,+6,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
22,19,2019-12-06,31-138,BRK,@,CHO,W (+7),0,25:53,6,7,.857,0,0,,4,4,1.000,5,8,13,3,0,2,1,2,16,21.1,+1,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
23,20,2019-12-08,31-140,BRK,,DEN,W (+3),0,18:14,3,3,1.000,0,0,,1,1,1.000,1,5,6,2,0,0,1,3,7,7.5,-9,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
24,21,2019-12-11,31-143,BRK,,CHO,L (-5),0,21:30,3,6,.500,0,0,,3,3,1.000,6,8,14,1,0,1,0,3,9,12.8,-3,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
25,22,2019-12-14,31-146,BRK,@,TOR,L (-8),0,20:18,3,9,.333,0,0,,1,2,.500,6,7,13,2,0,1,1,3,7,7.7,-3,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
26,23,2019-12-15,31-147,BRK,,PHI,W (+20),0,21:43,6,9,.667,0,0,,1,3,.333,5,6,11,2,1,0,2,0,13,14.0,+10,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
27,24,2019-12-17,31-149,BRK,@,NOP,W (+7),0,18:20,2,3,.667,0,0,,2,2,1.000,1,5,6,5,1,1,1,2,6,10.3,-15,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
28,25,2019-12-19,31-151,BRK,@,SAS,L (-13),0,16:49,1,1,1.000,0,0,,1,2,.500,0,11,11,1,1,0,3,2,3,3.5,-13,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
29,26,2019-12-21,31-153,BRK,,ATL,W (+10),0,25:31,5,10,.500,0,0,,2,4,.500,3,17,20,6,1,1,3,1,12,15.9,+12,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
30,27,2019-12-26,31-158,BRK,,NYK,L (-12),0,17:47,2,6,.333,0,0,,4,5,.800,0,6,6,1,0,0,2,1,8,4.3,-1,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
31,28,2019-12-28,31-160,BRK,@,HOU,L (-10),0,21:28,3,4,.750,0,0,,0,0,,4,8,12,0,0,1,0,2,6,9.5,+14,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
32,29,2019-12-30,31-162,BRK,@,MIN,L (-7),0,25:23,2,3,.667,0,0,,2,4,.500,1,12,13,3,0,3,1,3,6,10.2,+6,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
33,30,2020-01-02,31-165,BRK,@,DAL,L (-12),1,22:03,3,3,1.000,0,0,,4,4,1.000,2,8,10,2,0,0,0,2,10,13.5,-12,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
34,31,2020-01-04,31-167,BRK,,TOR,L (-19),0,18:13,3,5,.600,0,0,,0,0,,1,7,8,2,1,4,5,2,6,5.9,-8,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
35,32,2020-01-06,31-169,BRK,@,ORL,L (-12),0,21:13,2,3,.667,0,0,,0,0,,2,5,7,2,0,0,0,1,4,6.6,-4,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
36,33,2020-01-07,31-170,BRK,,OKC,L (-8),0,20:11,4,7,.571,0,0,,0,0,,3,7,10,0,1,0,2,3,8,6.7,+1,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
37,34,2020-01-10,31-173,BRK,,MIA,W (+4),0,19:56,3,4,.750,0,0,,2,2,1.000,0,10,10,1,0,0,0,1,8,9.7,-20,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
38,35,2020-01-12,31-175,BRK,,ATL,W (+22),0,24:08,5,7,.714,0,0,,3,5,.600,3,5,8,1,0,1,3,2,13,10.5,0,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
39,36,2020-01-14,31-177,BRK,,UTA,L (-11),0,23:28,4,5,.800,0,0,,1,2,.500,3,11,14,0,0,1,3,2,9,9.0,+2,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
40,37,2020-01-15,31-178,BRK,@,PHI,L (-11),0,10:13,2,3,.667,0,0,,0,0,,2,1,3,3,1,0,1,1,4,6.1,+2,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
41,,2020-01-18,31-181,BRK,,MIL,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
42,,2020-01-20,31-183,BRK,,PHI,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
43,,2020-01-23,31-186,BRK,,LAL,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
44,,2020-01-25,31-188,BRK,@,DET,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
45,,2020-01-26,31-189,BRK,@,NYK,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
46,38,2020-01-29,31-192,BRK,,DET,W (+10),0,20:30,2,2,1.000,0,0,,0,0,,2,6,8,2,0,3,0,2,4,9.3,-2,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
47,39,2020-01-31,31-194,BRK,,CHI,W (+15),0,16:28,3,3,1.000,0,0,,0,0,,1,7,8,0,0,0,3,1,6,4.5,+3,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
48,40,2020-02-01,31-195,BRK,@,WAS,L (-6),0,21:02,3,4,.750,0,0,,2,2,1.000,3,8,11,3,1,2,1,3,8,13.2,+4,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
49,41,2020-02-03,31-197,BRK,,PHO,W (+22),0,21:37,3,3,1.000,0,0,,2,2,1.000,2,7,9,5,0,0,2,3,8,10.9,+8,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
50,42,2020-02-05,31-199,BRK,,GSW,W (+41),0,21:27,5,6,.833,0,0,,0,0,,1,6,7,0,0,0,4,1,10,5.9,+8,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
51,43,2020-02-08,31-202,BRK,@,TOR,L (-1),0,28:39,6,10,.600,0,0,,3,4,.750,3,11,14,1,0,3,3,1,15,14.8,+7,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
52,44,2020-02-10,31-204,BRK,@,IND,W (+1),0,28:07,5,7,.714,0,0,,1,2,.500,4,15,19,0,0,2,0,2,11,15.6,-1,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
53,45,2020-02-12,31-206,BRK,,TOR,W (+10),0,23:13,3,6,.500,0,0,,1,1,1.000,4,6,10,4,0,1,2,1,7,9.7,0,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
54,46,2020-02-20,31-214,BRK,@,PHI,L (-8),0,37:04,5,11,.455,0,0,,4,5,.800,7,8,15,4,0,0,1,5,14,15.0,+6,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
55,47,2020-02-22,31-216,BRK,@,CHO,W (+29),0,19:58,5,5,1.000,0,0,,2,3,.667,2,1,3,1,0,0,2,3,12,9.3,+8,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
56,48,2020-02-24,31-218,BRK,,ORL,L (-2),0,21:51,3,5,.600,0,0,,0,0,,3,5,8,1,2,0,1,1,6,8.6,-12,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
57,49,2020-02-26,31-220,BRK,@,WAS,L (-4),0,29:37,6,8,.750,0,0,,4,5,.800,6,10,16,0,0,0,1,2,16,17.8,-1,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
58,50,2020-02-28,31-222,BRK,@,ATL,L (-23),0,20:06,4,6,.667,0,0,,1,3,.333,2,6,8,1,0,1,1,0,9,9.2,-9,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
59,51,2020-02-29,31-223,BRK,@,MIA,L (-3),0,20:00,1,1,1.000,0,0,,1,2,.500,2,7,9,3,0,1,0,2,3,7.8,+1,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
60,52,2020-03-03,31-226,BRK,@,BOS,W (+9),0,35:13,3,4,.750,0,0,,2,2,1.000,1,14,15,1,0,1,2,5,8,8.7,+29,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
61,53,2020-03-04,31-227,BRK,,MEM,L (-39),0,13:43,1,1,1.000,0,0,,0,0,,2,2,4,0,0,0,2,2,2,0.9,-12,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
62,54,2020-03-06,31-229,BRK,,SAS,W (+19),0,22:44,5,10,.500,0,0,,2,4,.500,3,7,10,1,0,0,0,3,12,9.9,+11,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
63,55,2020-03-08,31-231,BRK,,CHI,W (+3),1,28:44,4,5,.800,0,0,,3,4,.750,2,13,15,4,0,3,1,2,11,17.1,+12,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
64,56,2020-03-10,31-233,BRK,@,LAL,W (+2),1,27:13,4,7,.571,0,0,,0,2,.000,4,8,12,1,0,0,0,2,8,9.0,-1,2020,jordade01,https://www.basketball-reference.com/players/j/jordade01/gamelog/2020
