Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
15,12,2015-11-28,37-097,LAL,@,POR,L (-12),1,34:08,7,20,.350,1,5,.200,6,7,.857,0,2,2,2,0,0,1,1,21,10.0,-12,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
16,13,2015-11-29,37-098,LAL,,IND,L (-4),1,33:29,4,20,.200,2,7,.286,3,4,.750,1,3,4,3,1,0,1,1,13,3.5,-6,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
17,14,2015-12-01,37-100,LAL,@,PHI,L (-12),1,31:42,7,26,.269,4,17,.235,2,4,.500,1,4,5,2,1,0,3,3,20,3.9,-21,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
18,15,2015-12-02,37-101,LAL,@,WAS,W (+4),1,35:34,10,24,.417,4,11,.364,7,8,.875,0,2,2,3,1,0,2,1,31,19.1,-5,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
19,16,2015-12-04,37-103,LAL,@,ATL,L (-13),1,35:20,4,19,.211,2,10,.200,4,5,.800,0,3,3,5,2,2,2,2,14,6.9,-15,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
20,17,2015-12-06,37-105,LAL,@,DET,L (-20),1,25:35,2,15,.133,1,6,.167,0,0,,0,3,3,1,1,0,3,2,5,-5.9,-22,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
21,18,2015-12-07,37-106,LAL,@,TOR,L (-9),1,31:49,8,16,.500,1,4,.250,4,5,.800,0,8,8,4,2,0,4,3,21,14.6,-11,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
22,19,2015-12-09,37-108,LAL,@,MIN,L (-1),1,24:30,5,13,.385,1,2,.500,0,0,,0,1,1,1,1,0,2,2,11,3.1,-12,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
23,20,2015-12-11,37-110,LAL,@,SAS,L (-22),1,28:59,5,12,.417,1,5,.200,1,2,.500,1,5,6,4,0,0,2,1,12,7.8,-18,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
24,21,2015-12-12,37-111,LAL,@,HOU,L (-29),1,31:09,9,16,.563,4,9,.444,3,3,1.000,2,5,7,6,3,0,0,0,25,27.5,+3,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
25,22,2015-12-15,37-114,LAL,,MIL,W (+18),1,27:26,7,15,.467,3,7,.429,5,5,1.000,0,3,3,6,0,0,2,2,22,16.6,+20,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
26,23,2015-12-17,37-116,LAL,,HOU,L (-20),1,32:02,9,16,.563,2,6,.333,2,7,.286,1,7,8,3,0,1,2,2,22,15.2,-24,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
27,,2015-12-19,37-118,LAL,@,OKC,L (-40),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
28,24,2015-12-22,37-121,LAL,@,DEN,W (+4),1,32:11,10,22,.455,2,9,.222,9,11,.818,1,2,3,5,1,1,1,2,31,23.5,+11,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
29,25,2015-12-23,37-122,LAL,,OKC,L (-35),1,27:56,7,22,.318,2,7,.286,3,3,1.000,1,0,1,3,1,0,2,3,19,7.0,-36,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
30,26,2015-12-25,37-124,LAL,,LAC,L (-10),1,26:04,4,10,.400,3,5,.600,1,4,.250,0,3,3,3,2,0,3,0,12,7.4,-17,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
31,27,2015-12-27,37-126,LAL,@,MEM,L (-16),1,24:00,6,15,.400,2,8,.250,5,6,.833,0,2,2,3,0,0,3,2,19,9.4,-14,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
32,28,2015-12-28,37-127,LAL,@,CHO,L (-10),1,32:04,5,20,.250,3,12,.250,7,8,.875,1,3,4,2,0,0,3,2,20,6.8,-13,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
33,29,2015-12-30,37-129,LAL,@,BOS,W (+8),1,33:09,5,18,.278,2,5,.400,3,5,.600,1,10,11,3,0,0,4,3,15,4.2,+12,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
34,,2016-01-01,37-131,LAL,,PHI,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
35,,2016-01-03,37-133,LAL,,PHO,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
36,,2016-01-05,37-135,LAL,,GSW,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
37,30,2016-01-07,37-137,LAL,@,SAC,L (-3),1,30:56,10,19,.526,2,6,.333,6,8,.750,1,1,2,3,0,1,3,2,28,17.9,-14,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
38,31,2016-01-08,37-138,LAL,,OKC,L (-4),1,28:28,8,20,.400,1,5,.200,2,2,1.000,2,2,4,6,1,0,2,3,19,12.2,-14,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
39,,2016-01-10,37-140,LAL,,UTA,L (-12),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
40,32,2016-01-12,37-142,LAL,,NOP,W (+4),1,15:44,3,9,.333,0,5,.000,1,2,.500,0,3,3,1,1,0,1,2,7,2.3,-6,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
41,33,2016-01-14,37-144,LAL,@,GSW,L (-18),1,27:28,4,15,.267,0,4,.000,0,0,,2,4,6,3,2,1,2,2,8,3.7,-11,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
42,34,2016-01-16,37-146,LAL,@,UTA,L (-27),1,14:40,2,8,.250,0,3,.000,1,1,1.000,1,0,1,2,0,0,0,0,5,2.3,-15,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
43,35,2016-01-17,37-147,LAL,,HOU,L (-17),1,24:00,2,5,.400,1,2,.500,0,0,,0,2,2,9,1,0,4,0,5,6.2,-12,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
44,36,2016-01-20,37-150,LAL,,SAC,L (-19),1,31:12,4,13,.308,2,7,.286,5,5,1.000,2,2,4,3,1,0,2,4,15,9.0,-13,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
45,37,2016-01-22,37-152,LAL,,SAS,L (-13),1,26:34,2,9,.222,1,4,.250,0,0,,1,1,2,6,0,1,3,2,5,1.6,-15,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
46,38,2016-01-23,37-153,LAL,@,POR,L (-18),1,24:33,5,9,.556,0,1,.000,0,0,,0,2,2,1,0,0,5,1,10,1.6,-17,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
47,,2016-01-26,37-156,LAL,,DAL,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
48,39,2016-01-28,37-158,LAL,,CHI,L (-23),1,25:05,4,13,.308,2,7,.286,0,0,,0,4,4,3,2,0,2,2,10,5.0,-9,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
49,,2016-01-29,37-159,LAL,@,LAC,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
50,40,2016-01-31,37-161,LAL,,CHO,L (-19),1,22:58,8,18,.444,4,8,.500,3,3,1.000,1,7,8,3,2,0,0,1,23,20.1,+1,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
51,41,2016-02-02,37-163,LAL,,MIN,W (+4),1,33:01,10,21,.476,7,11,.636,11,12,.917,2,3,5,5,2,0,2,3,38,31.5,+6,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
52,42,2016-02-04,37-165,LAL,@,NOP,W (+3),1,32:07,10,24,.417,4,11,.364,3,4,.750,3,9,12,2,2,0,1,0,27,21.0,+16,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
53,43,2016-02-06,37-167,LAL,@,SAS,L (-4),1,32:53,9,28,.321,4,14,.286,3,3,1.000,1,1,2,4,0,1,2,4,25,9.9,-2,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
54,44,2016-02-08,37-169,LAL,@,IND,L (-2),1,33:23,6,25,.240,4,14,.286,3,4,.750,1,4,5,0,0,0,0,0,19,5.4,-6,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
55,45,2016-02-10,37-171,LAL,@,CLE,L (-9),1,33:05,5,16,.313,3,7,.429,4,4,1.000,0,6,6,3,1,0,3,2,17,8.9,-19,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
56,46,2016-02-19,37-180,LAL,,SAS,L (-6),1,29:17,10,25,.400,1,8,.125,4,5,.800,1,3,4,3,1,0,3,0,25,12.8,-3,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
57,47,2016-02-21,37-182,LAL,@,CHI,L (-11),1,27:27,8,20,.400,1,7,.143,5,7,.714,2,2,4,1,0,0,0,1,22,12.7,-1,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
58,48,2016-02-22,37-183,LAL,@,MIL,L (-7),1,24:27,3,12,.250,1,5,.200,8,9,.889,0,5,5,2,1,0,2,3,15,8.1,-20,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
59,49,2016-02-24,37-185,LAL,@,MEM,L (-9),1,28:57,5,14,.357,2,7,.286,1,2,.500,0,1,1,2,1,0,1,2,13,5.7,-7,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
60,,2016-02-26,37-187,LAL,,MEM,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
61,,2016-03-01,37-191,LAL,,BRK,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
62,50,2016-03-02,37-192,LAL,@,DEN,L (-10),1,10:50,1,2,.500,1,2,.500,2,3,.667,1,1,2,1,0,0,0,1,5,4.9,+1,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
63,,2016-03-04,37-194,LAL,,ATL,L (-29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
64,51,2016-03-06,37-196,LAL,,GSW,W (+17),1,24:21,4,14,.286,0,5,.000,4,4,1.000,0,2,2,3,0,0,3,2,12,2.7,+14,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
65,,2016-03-08,37-198,LAL,,ORL,W (+9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
66,52,2016-03-10,37-200,LAL,,CLE,L (-12),1,32:12,11,16,.688,3,4,.750,1,2,.500,1,4,5,2,1,1,0,1,26,23.4,-8,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
67,53,2016-03-13,37-203,LAL,,NYK,L (-3),1,26:50,5,15,.333,1,4,.250,3,4,.750,0,2,2,0,1,0,1,2,14,4.9,-18,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
68,,2016-03-15,37-205,LAL,,SAC,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
69,,2016-03-18,37-208,LAL,,PHO,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
70,54,2016-03-22,37-212,LAL,,MEM,W (+7),1,30:20,7,18,.389,2,5,.400,4,4,1.000,0,2,2,1,1,1,4,4,20,7.6,+11,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
71,55,2016-03-23,37-213,LAL,@,PHO,L (-12),1,27:54,5,13,.385,3,8,.375,4,4,1.000,0,3,3,2,0,1,1,1,17,11.5,-23,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
72,56,2016-03-25,37-215,LAL,,DEN,L (-11),1,28:42,10,22,.455,4,9,.444,4,5,.800,0,4,4,0,0,0,1,2,28,15.6,-6,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
73,57,2016-03-27,37-217,LAL,,WAS,L (-13),1,22:31,6,15,.400,3,7,.429,2,2,1.000,0,1,1,2,1,0,2,0,17,9.6,-11,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
74,58,2016-03-28,37-218,LAL,@,UTA,L (-48),1,27:44,1,11,.091,0,4,.000,3,3,1.000,0,0,0,2,1,0,0,0,5,0.1,-43,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
75,59,2016-03-30,37-220,LAL,,MIA,W (+2),1,8:44,1,7,.143,0,2,.000,0,0,,1,1,2,0,0,0,1,0,2,-2.5,-13,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
76,60,2016-04-03,37-224,LAL,,BOS,L (-7),1,33:01,11,28,.393,4,11,.364,8,10,.800,1,3,4,1,3,0,0,4,34,21.7,-4,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
77,61,2016-04-05,37-226,LAL,@,LAC,L (-22),1,22:15,2,12,.167,0,2,.000,2,2,1.000,1,1,2,0,2,0,2,1,6,-1.0,-25,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
78,62,2016-04-06,37-227,LAL,,LAC,L (-10),1,27:46,6,19,.316,1,6,.167,4,4,1.000,0,3,3,1,1,0,1,1,17,7.3,-15,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
79,63,2016-04-08,37-229,LAL,@,NOP,L (-8),1,22:13,4,15,.267,3,9,.333,3,3,1.000,0,3,3,4,1,0,2,0,14,7.8,-16,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
80,64,2016-04-10,37-231,LAL,@,HOU,L (-20),1,27:26,10,22,.455,4,11,.364,11,11,1.000,0,2,2,1,2,0,4,1,35,22.5,-10,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
81,65,2016-04-11,37-232,LAL,@,OKC,L (-33),1,18:57,4,12,.333,3,9,.333,2,2,1.000,0,1,1,0,1,0,2,2,13,4.7,-24,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
82,66,2016-04-13,37-234,LAL,,UTA,W (+5),1,42:09,22,50,.440,6,21,.286,10,12,.833,0,4,4,4,1,1,2,1,60,36.3,+7,2016,bryanko01,https://www.basketball-reference.com/players/b/bryanko01/gamelog/2016
