Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
12,12,2008-11-19,23-203,DAL,@,HOU,W (+10),0,22:16,2,4,.500,0,0,,2,2,1.000,1,5,6,0,0,1,3,3,6,2.7,+10,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
13,13,2008-11-21,23-205,DAL,,MEM,W (+15),0,16:05,2,4,.500,0,0,,3,4,.750,1,3,4,0,0,0,0,0,7,6.2,-3,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
14,14,2008-11-25,23-209,DAL,,IND,W (+3),0,10:42,3,9,.333,0,0,,0,0,,2,3,5,0,1,0,1,0,6,3.2,-4,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
15,15,2008-11-28,23-212,DAL,@,LAL,L (-7),0,19:43,4,7,.571,0,0,,3,3,1.000,2,1,3,0,0,0,2,1,11,7.0,-4,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
16,16,2008-11-29,23-213,DAL,@,SAC,W (+23),0,24:54,4,8,.500,0,0,,2,2,1.000,1,6,7,0,2,0,3,4,10,5.9,+7,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
17,17,2008-12-02,23-216,DAL,,LAC,W (+2),0,26:22,6,8,.750,0,0,,2,2,1.000,3,4,7,0,0,0,0,1,14,13.7,+13,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
18,18,2008-12-04,23-218,DAL,,PHO,W (+15),0,14:30,3,5,.600,0,0,,1,2,.500,1,1,2,0,0,1,2,4,7,2.4,-13,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
19,19,2008-12-06,23-220,DAL,,ATL,W (+2),0,20:07,7,9,.778,0,0,,0,0,,3,3,6,1,0,0,0,3,14,13.0,-9,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
20,20,2008-12-09,23-223,DAL,,SAS,L (-7),0,12:34,3,5,.600,0,0,,3,4,.750,2,3,5,1,0,0,0,0,9,9.3,-2,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
21,21,2008-12-11,23-225,DAL,,CHA,W (+5),0,23:53,5,12,.417,0,0,,1,1,1.000,4,5,9,0,0,0,0,1,11,8.5,+3,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
22,22,2008-12-13,23-227,DAL,,OKC,W (+4),0,33:41,3,9,.333,0,0,,0,0,,1,8,9,1,0,1,1,2,6,3.6,+15,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
23,23,2008-12-15,23-229,DAL,,DEN,L (-10),0,17:43,1,3,.333,0,0,,2,2,1.000,1,2,3,1,0,1,1,2,4,3.2,-2,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
24,24,2008-12-17,23-231,DAL,@,TOR,W (+10),0,20:36,4,6,.667,0,0,,0,0,,2,3,5,1,0,1,0,1,8,8.7,+5,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
25,25,2008-12-19,23-233,DAL,@,NJN,L (-24),0,13:48,0,3,.000,0,0,,2,2,1.000,2,0,2,0,0,0,2,2,2,-1.5,-15,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
26,,2008-12-21,23-235,DAL,@,WAS,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
27,26,2008-12-23,23-237,DAL,,MEM,W (+18),0,12:35,4,6,.667,0,0,,3,3,1.000,1,2,3,0,0,0,1,1,11,8.3,+6,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
28,27,2008-12-25,23-239,DAL,@,POR,W (+8),0,12:00,4,6,.667,0,0,,0,0,,1,0,1,0,0,0,0,2,8,5.3,+11,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
29,28,2008-12-26,23-240,DAL,@,UTA,L (-9),0,15:30,0,4,.000,0,1,.000,2,2,1.000,2,2,4,1,0,0,1,0,2,0.9,+4,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
30,29,2008-12-28,23-242,DAL,@,LAC,W (+22),0,30:08,3,13,.231,0,0,,8,9,.889,2,7,9,1,0,1,2,1,14,8.2,+6,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
31,30,2008-12-30,23-244,DAL,,MIN,W (+7),0,5:11,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,1,1,0,4,2.7,-7,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
32,31,2009-01-02,23-247,DAL,,PHI,W (+10),0,19:48,3,4,.750,0,0,,3,3,1.000,0,2,2,0,0,2,2,2,9,6.6,+8,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
33,32,2009-01-04,23-249,DAL,@,MEM,L (-20),0,12:13,2,9,.222,0,1,.000,0,0,,2,1,3,0,0,1,0,0,4,0.9,-5,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
34,33,2009-01-06,23-251,DAL,,LAC,W (+5),0,24:03,4,5,.800,0,0,,5,5,1.000,1,5,6,1,0,1,3,4,13,10.1,+6,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
35,34,2009-01-08,23-253,DAL,,NYK,W (+5),0,27:24,2,5,.400,0,0,,8,12,.667,5,6,11,0,2,4,0,2,12,17.0,+16,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
36,35,2009-01-09,23-254,DAL,@,PHO,L (-28),0,16:41,3,8,.375,0,0,,1,2,.500,2,2,4,0,1,0,1,1,7,3.8,-20,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
37,36,2009-01-11,23-256,DAL,@,SAC,L (-7),0,20:46,3,7,.429,0,0,,2,2,1.000,2,2,4,2,0,1,0,2,8,7.6,0,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
38,37,2009-01-13,23-258,DAL,@,DEN,L (-2),0,20:30,5,7,.714,0,0,,0,0,,2,3,5,0,0,1,1,2,10,8.3,-4,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
39,38,2009-01-14,23-259,DAL,,NOH,L (-7),0,33:14,2,4,.500,0,1,.000,2,2,1.000,0,6,6,0,0,0,2,2,6,3.0,-2,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
40,39,2009-01-17,23-262,DAL,,UTA,W (+7),0,28:16,5,9,.556,0,0,,7,7,1.000,5,4,9,0,0,0,1,2,17,15.6,+14,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
41,40,2009-01-19,23-264,DAL,@,PHI,W (+2),0,16:46,2,3,.667,0,1,.000,0,0,,1,4,5,0,0,0,1,2,4,2.8,-3,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
42,41,2009-01-21,23-266,DAL,@,MIL,L (-34),0,21:03,1,6,.167,0,0,,5,5,1.000,2,0,2,0,0,0,0,1,7,4.2,-17,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
43,42,2009-01-23,23-268,DAL,@,DET,W (+21),0,28:44,8,12,.667,0,0,,2,2,1.000,3,3,6,3,1,1,0,0,18,19.6,+12,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
44,43,2009-01-25,23-270,DAL,@,BOS,L (-24),0,16:00,2,4,.500,0,0,,4,4,1.000,1,1,2,0,0,2,0,2,8,7.6,-21,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
45,44,2009-01-28,23-273,DAL,,GSW,W (+24),0,24:12,4,11,.364,0,0,,8,8,1.000,3,8,11,3,0,2,3,2,16,14.1,+10,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
46,45,2009-01-31,23-276,DAL,@,MIA,W (+15),0,18:05,5,8,.625,0,0,,1,3,.333,0,2,2,1,1,1,0,3,11,8.4,+9,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
47,46,2009-02-02,23-278,DAL,@,ORL,W (+10),0,22:16,2,3,.667,0,0,,2,2,1.000,0,6,6,0,0,0,1,5,6,3.5,-11,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
48,47,2009-02-04,23-280,DAL,,POR,W (+5),0,34:03,9,11,.818,0,0,,1,1,1.000,2,2,4,1,2,2,2,4,19,17.4,-4,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
49,48,2009-02-05,23-281,DAL,@,UTA,L (-28),0,17:29,1,2,.500,0,0,,2,2,1.000,1,4,5,2,0,0,0,0,4,6.3,-5,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
50,49,2009-02-07,23-283,DAL,,CHI,W (+1),0,17:36,2,6,.333,0,0,,1,2,.500,2,3,5,0,0,1,0,1,5,3.8,+12,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
51,50,2009-02-10,23-286,DAL,,SAC,W (+18),0,18:58,2,6,.333,0,0,,2,2,1.000,1,3,4,1,2,0,3,3,6,2.7,+10,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
52,51,2009-02-12,23-288,DAL,,BOS,L (-7),0,17:52,2,4,.500,0,0,,4,4,1.000,0,1,1,0,1,2,1,0,8,7.7,-5,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
53,52,2009-02-18,23-294,DAL,,NJN,W (+15),0,21:27,3,8,.375,0,0,,1,2,.500,2,2,4,3,1,1,0,0,7,8.0,-11,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
54,53,2009-02-20,23-296,DAL,@,HOU,L (-7),0,21:44,4,11,.364,0,0,,5,6,.833,3,1,4,0,1,1,1,1,13,9.2,+14,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
55,54,2009-02-21,23-297,DAL,,SAC,W (+21),0,21:50,7,9,.778,0,0,,6,6,1.000,1,3,4,1,0,1,0,1,20,19.1,+7,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
56,55,2009-02-24,23-300,DAL,@,SAS,L (-17),0,12:38,0,2,.000,0,0,,1,2,.500,1,3,4,0,0,1,1,1,1,0.1,-8,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
57,56,2009-02-25,23-301,DAL,,MIL,W (+20),0,30:02,5,8,.625,0,0,,8,8,1.000,3,8,11,3,0,4,4,2,18,19.0,-2,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
58,57,2009-02-27,23-303,DAL,,OKC,W (+2),0,14:20,3,6,.500,0,1,.000,3,4,.750,2,3,5,0,0,0,2,0,9,5.9,-10,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
59,58,2009-03-01,23-305,DAL,,TOR,W (+11),0,18:13,4,6,.667,0,0,,2,3,.667,2,3,5,1,0,0,3,3,10,5.8,+6,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
60,59,2009-03-02,23-306,DAL,@,OKC,L (-9),0,17:08,1,3,.333,0,0,,2,2,1.000,0,5,5,1,1,0,1,1,4,4.1,+13,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
61,60,2009-03-04,23-308,DAL,,SAS,W (+5),0,14:43,1,3,.333,0,0,,2,2,1.000,0,1,1,1,0,2,1,3,4,2.5,+9,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
62,61,2009-03-05,23-309,DAL,@,NOH,L (-16),0,17:33,2,4,.500,0,0,,2,2,1.000,1,3,4,2,0,1,2,4,6,4.1,-3,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
63,62,2009-03-07,23-311,DAL,,WAS,W (+16),0,23:23,3,4,.750,0,0,,7,8,.875,3,2,5,1,2,0,2,2,13,13.6,+18,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
64,63,2009-03-10,23-314,DAL,@,PHO,W (+5),0,21:40,4,6,.667,0,0,,2,2,1.000,2,3,5,1,1,1,0,0,10,12.1,0,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
65,64,2009-03-11,23-315,DAL,@,POR,W (+4),0,25:31,3,6,.500,0,0,,4,4,1.000,1,3,4,0,2,0,1,1,10,9.2,+7,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
66,65,2009-03-13,23-317,DAL,@,GSW,L (-9),0,15:19,2,8,.250,0,0,,2,2,1.000,1,1,2,0,0,1,0,3,6,1.7,-6,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
67,66,2009-03-15,23-319,DAL,@,LAL,L (-7),0,22:19,2,3,.667,0,0,,4,6,.667,2,3,5,0,1,0,0,1,8,8.8,+7,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
68,67,2009-03-17,23-321,DAL,,DET,W (+2),0,18:36,5,7,.714,0,0,,2,2,1.000,0,2,2,1,0,1,2,1,12,8.7,-4,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
69,68,2009-03-19,23-323,DAL,@,ATL,L (-8),0,15:39,4,10,.400,0,0,,2,2,1.000,2,4,6,0,0,1,1,3,10,5.7,-9,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
70,69,2009-03-20,23-324,DAL,@,IND,W (+2),0,17:36,3,11,.273,0,0,,0,0,,4,4,8,0,0,1,0,1,6,3.8,-1,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
71,70,2009-03-25,23-329,DAL,,GSW,W (+22),0,13:06,3,5,.600,0,0,,4,6,.667,1,2,3,0,0,0,2,2,10,5.4,0,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
72,71,2009-03-27,23-331,DAL,,DEN,L (-2),0,13:06,3,6,.500,0,0,,2,2,1.000,2,2,4,0,0,1,0,0,8,7.7,+5,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
73,72,2009-03-29,23-333,DAL,@,CLE,L (-28),0,5:06,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,2,0,0,-2.4,-9,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
74,73,2009-03-31,23-335,DAL,@,MIN,W (+20),0,15:51,3,5,.600,0,0,,2,3,.667,1,3,4,1,1,0,1,1,8,7.2,+1,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
75,74,2009-04-01,23-336,DAL,,MIA,W (+2),0,22:25,4,6,.667,0,0,,2,2,1.000,2,6,8,0,0,1,0,3,10,10.1,+9,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
76,75,2009-04-03,23-338,DAL,@,MEM,L (-5),0,21:22,5,9,.556,0,0,,0,1,.000,1,4,5,0,0,0,2,4,10,3.6,+11,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
77,76,2009-04-05,23-340,DAL,,PHO,W (+24),0,27:32,6,8,.750,0,0,,2,2,1.000,3,3,6,0,0,1,0,2,14,13.7,+31,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
78,77,2009-04-08,23-343,DAL,,UTA,W (+29),0,16:03,1,2,.500,0,0,,0,0,,1,3,4,0,0,0,1,3,2,0.4,+14,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
79,78,2009-04-10,23-345,DAL,,NOH,W (+8),0,27:02,3,7,.429,0,0,,2,2,1.000,6,7,13,0,0,1,0,2,8,10.5,-7,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
80,79,2009-04-12,23-347,DAL,@,NOH,L (-10),0,23:30,6,9,.667,0,0,,1,1,1.000,2,1,3,0,1,0,0,3,13,10.6,-3,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
81,80,2009-04-13,23-348,DAL,,MIN,W (+2),0,12:49,2,2,1.000,0,0,,2,2,1.000,0,2,2,1,0,0,1,2,6,4.9,-7,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
82,81,2009-04-15,23-350,DAL,,HOU,W (+11),0,24:35,2,6,.333,0,0,,2,2,1.000,3,1,4,1,0,1,0,1,6,6.0,+4,2009,bassbr01,https://www.basketball-reference.com/players/b/bassbr01/gamelog/2009
