Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
12,,2019-11-16,24-045,ATL,@,LAC,L (-49),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
13,,2019-11-17,24-046,ATL,@,LAL,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
14,,2019-11-20,24-049,ATL,,MIL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
15,,2019-11-22,24-051,ATL,@,DET,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
16,,2019-11-23,24-052,ATL,,TOR,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
17,,2019-11-25,24-054,ATL,,MIN,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
18,,2019-11-27,24-056,ATL,@,MIL,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
19,,2019-11-29,24-058,ATL,@,IND,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
20,,2019-11-30,24-059,ATL,@,HOU,L (-47),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
21,1,2019-12-02,24-061,ATL,,GSW,W (+25),0,2:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-1,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
22,2,2019-12-04,24-063,ATL,,BRK,L (-12),0,2:59,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-8,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
23,,2019-12-08,24-067,ATL,@,CHO,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
24,,2019-12-10,24-069,ATL,@,MIA,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
25,,2019-12-11,24-070,ATL,@,CHI,L (-34),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
26,,2019-12-13,24-072,ATL,,IND,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
27,,2019-12-15,24-074,ATL,,LAL,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
28,,2019-12-17,24-076,ATL,@,NYK,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
29,,2019-12-19,24-078,ATL,,UTA,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
30,,2019-12-21,24-080,ATL,@,BRK,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
31,,2019-12-23,24-082,ATL,@,CLE,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
32,3,2019-12-27,24-086,ATL,,MIL,L (-26),0,14:13,0,6,.000,0,4,.000,0,0,,0,3,3,2,1,0,0,1,0,-1.3,+6,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
33,4,2019-12-28,24-087,ATL,@,CHI,L (-35),0,12:24,2,5,.400,1,1,1.000,0,0,,1,0,1,1,0,1,0,1,5,4.0,-10,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
34,5,2019-12-30,24-089,ATL,@,ORL,W (+8),0,21:54,7,11,.636,3,4,.750,4,4,1.000,0,3,3,6,2,1,2,2,21,21.1,+22,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
35,6,2020-01-03,24-093,ATL,@,BOS,L (-3),0,12:51,3,6,.500,1,2,.500,1,1,1.000,0,4,4,3,2,0,1,2,8,8.5,-8,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
36,7,2020-01-04,24-094,ATL,,IND,W (+5),0,12:49,3,4,.750,0,0,,2,2,1.000,1,0,1,0,0,0,0,0,8,7.1,0,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
37,8,2020-01-06,24-096,ATL,,DEN,L (-8),0,7:17,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,2.3,-10,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
38,9,2020-01-08,24-098,ATL,,HOU,L (-7),0,13:24,3,7,.429,2,3,.667,0,0,,0,4,4,2,1,0,1,3,8,5.7,-16,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
39,10,2020-01-10,24-100,ATL,@,WAS,L (-10),0,23:22,6,13,.462,2,7,.286,0,0,,0,0,0,1,0,0,0,4,14,6.4,+1,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
40,11,2020-01-12,24-102,ATL,@,BRK,L (-22),1,26:46,3,12,.250,1,8,.125,1,1,1.000,1,3,4,3,2,0,4,4,8,0.9,-21,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
41,12,2020-01-14,24-104,ATL,,PHO,W (+13),0,12:45,2,5,.400,1,2,.500,0,0,,0,2,2,1,0,1,2,1,5,1.9,-11,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
42,13,2020-01-17,24-107,ATL,@,SAS,W (+1),0,15:42,2,6,.333,0,3,.000,0,0,,1,4,5,3,0,0,2,2,4,1.8,-7,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
43,14,2020-01-18,24-108,ATL,,DET,L (-33),0,4:19,0,2,.000,0,2,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,0.6,+1,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
44,15,2020-01-20,24-110,ATL,,TOR,L (-5),0,2:21,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+3,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
45,16,2020-01-22,24-112,ATL,,LAC,W (+7),0,19:38,6,14,.429,3,4,.750,4,4,1.000,0,3,3,3,0,0,1,3,19,12.4,+3,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
46,17,2020-01-24,24-114,ATL,@,OKC,L (-29),0,13:50,1,6,.167,0,2,.000,2,2,1.000,0,1,1,2,1,0,1,1,4,1.5,-15,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
47,18,2020-01-26,24-116,ATL,,WAS,W (+19),0,11:44,4,9,.444,1,3,.333,0,0,,2,1,3,1,1,0,1,2,9,5.9,-8,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
48,19,2020-01-28,24-118,ATL,@,TOR,L (-16),0,10:05,1,3,.333,0,2,.000,0,0,,1,0,1,1,0,0,1,1,2,0.3,-14,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
49,,2020-01-30,24-120,ATL,,PHI,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
50,20,2020-02-01,24-122,ATL,@,DAL,L (-23),0,24:28,4,11,.364,1,2,.500,2,2,1.000,0,7,7,5,0,0,1,1,11,9.1,-9,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
51,21,2020-02-03,24-124,ATL,,BOS,L (-8),0,16:56,1,1,1.000,0,0,,0,0,,0,5,5,1,1,0,1,1,2,3.5,+8,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
52,22,2020-02-05,24-126,ATL,@,MIN,W (+7),0,20:07,3,8,.375,1,4,.250,2,2,1.000,1,7,8,0,0,0,1,1,9,6.0,-5,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
53,23,2020-02-07,24-128,ATL,@,BOS,L (-5),0,27:34,7,15,.467,3,9,.333,4,4,1.000,1,1,2,4,0,1,4,2,21,13.0,+10,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
54,24,2020-02-09,24-130,ATL,,NYK,W (+5),0,4:23,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,1.3,-3,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
55,25,2020-02-10,24-131,ATL,@,ORL,L (-9),0,6:26,3,5,.600,1,3,.333,0,0,,0,1,1,0,0,0,0,2,7,4.2,+7,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
56,26,2020-02-12,24-133,ATL,@,CLE,L (-22),0,14:06,0,3,.000,0,2,.000,0,0,,1,2,3,1,0,0,0,1,0,-0.5,-10,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
57,27,2020-02-20,24-141,ATL,,MIA,W (+5),0,4:49,0,2,.000,0,1,.000,1,2,.500,0,1,1,2,0,0,0,1,1,0.5,+1,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
58,28,2020-02-22,24-143,ATL,,DAL,W (+4),0,7:34,1,6,.167,0,4,.000,0,0,,0,0,0,1,0,0,0,1,2,-1.5,-5,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
59,,2020-02-24,24-145,ATL,@,PHI,L (-17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
60,29,2020-02-26,24-147,ATL,,ORL,L (-10),0,6:34,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,0,2,4,3.3,-9,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
61,30,2020-02-28,24-149,ATL,,BRK,W (+23),0,12:50,4,7,.571,2,3,.667,0,0,,1,2,3,3,0,0,1,0,10,9.1,+3,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
62,31,2020-02-29,24-150,ATL,,POR,W (+12),0,6:07,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,+3,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
63,32,2020-03-02,24-152,ATL,,MEM,L (-39),0,19:06,2,5,.400,0,1,.000,3,4,.750,0,4,4,1,0,0,1,0,7,4.8,-20,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
64,33,2020-03-06,24-156,ATL,@,WAS,L (-6),0,10:22,1,3,.333,0,1,.000,0,0,,0,1,1,3,0,0,1,1,2,1.3,-8,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
65,34,2020-03-07,24-157,ATL,@,MEM,L (-17),0,8:16,2,4,.500,1,3,.333,0,0,,0,0,0,0,1,0,1,2,5,2.2,+2,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
66,,2020-03-09,24-159,ATL,,CHO,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
67,,2020-03-11,24-161,ATL,,NYK,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,goodwbr01,https://www.basketball-reference.com/players/g/goodwbr01/gamelog/2020
